,Unnamed: 0,Rank,Title,Status,Study Results,Conditions,Interventions,Locations,URL,field1,inclusion_creteria,field2,exclusion_creteria
155,155,156,Effects on the Qt Interval of COVID-19 Coronavirus Infection,Recruiting,No Results Available,Coronavirus Infection|Intensive Care Patients,,"Servicio de Anestesia, Hospital General Universitario Gregorio Marañon, Madrid, Spain",https://ClinicalTrials.gov/show/NCT04422535,Inclusion Criteria:,Patients admitted to intensive care units for COVID-19 infection with an ECG record,Exclusion Criteria:,Patients in critical care unit without COVID-19 infection
156,156,157,HDL Target of CoViD19 ? Analysis on the Caregivers of the Reunion University Hospital,Not yet recruiting,No Results Available,SARS-CoV Infection,Other: research specific blood sample,"Centre Hospitalier Universitaire de la Réunion, Saint-Pierre, France",https://ClinicalTrials.gov/show/NCT04384705,Inclusion Criteria:,"Caregiver in Reunion island University Hospital Center
Practicing in a care service possibly exposed to the coronavirus
Signed Consent",Exclusion Criteria:,"Refusal to participate
Already infected by Covid19"
157,157,158,A Longitudinal Study of COVID-19 Positive Patients Testing Nasal Swabs and Collecting Blood Samples for Research,Recruiting,No Results Available,SARS-CoV Infection,Diagnostic Test: Odd/Even birth year intervention groups,"Everett Clinic, Seattle, Washington, United States",https://ClinicalTrials.gov/show/NCT04327804,Inclusion Criteria:,"Existing patient of the Everett Clinic (i.e., has previously sought care)
Tested positive for SARS-CoV-2 virus (confirmed by RT-PCR) prior to time of enrollment",Exclusion Criteria:,"Not able to demonstrate understanding of the study
Not able to safely travel to the clinic without endangering themselves or risking exposing others to SARS-CoV-2

Medical history evidencing any of the following

Active nosebleed in the past 24 hours
Nasal surgery in the past two weeks
Chemotherapy treatment with low platelet and low white blood cell counts
Acute facial trauma


Active nosebleed in the past 24 hours
Nasal surgery in the past two weeks
Chemotherapy treatment with low platelet and low white blood cell counts
Acute facial trauma
Advanced COVID-19 state that would preclude safe and feasible sample collection"
158,158,159,Convalescent Plasma in ICU Patients With COVID-19-induced Respiratory Failure,Recruiting,No Results Available,Covid-19|Sars-CoV2,Biological: Multiple Doses of Anti-SARS-CoV-2 convalescent plasma,"8700 Beverly Blvd., Los Angeles, California, United States|Johns Hopkins University, Baltimore, Maryland, United States",https://ClinicalTrials.gov/show/NCT04353206,Inclusion Criteria:,"18 years of age or older
Respiratory failure requiring mechanical ventilation due to COVID-19 induced pneumonia with confirmation via SARS-CoV-2 RT-PCR testing
PaO2/FiO2 ratio < 300 (or SpO2/FiO2 < 315)
Bilateral pulmonary infiltrates",Exclusion Criteria:,"Contraindication to transfusion (severe volume overload, history of anaphylaxis to blood products).
In the opinion of the site investigator or primary clinical care team, anticipated to die within 48 hours.
Acute or chronic disease/illness that, in the opinion of the site investigator, has an expected life expectancy of less than 28 days unrelated to COVID-19 induced pneumonia (e.g.; stage IV malignancy, neurodegenerative disease, anoxic brain injury, etc.)
Use of home oxygen at baseline
Use of home mechanical ventilation at baseline (CPAP or BIPAP without need for oxygen is NOT an exclusion)
Respiratory failure caused by illness other than SARS-CoV-2
Other documented uncontrolled infection.
More than 72 hours have elapsed since first meeting inclusion criteria
Severe DIC, TTP, or antithrombin III deficiency needing factor replacement, FFP, cryoprecipitate.
Patient is on Warfarin and it is deemed necessary to maintain therapeutic INR (because the CP will reverse the warfarin effect).
On dialysis at the time enrollment is considered.
Active intracranial bleeding.
Clinically significant myocardial ischemia.
Prisoner or Incarceration
Pregnancy or active breast feeding
Has already received convalescent plasma for COVID-19 infection during current admission
Current participation in another interventional research study
Inability or unwillingness of subject or legal surrogate/representative to give written informed consent"
159,159,160,PREEMPTIVE THERAPY WITH COLCHICINE IN PATIENTS OLDER THAN 70 YEARS WITH HIGH RISK OF SEVERE PNEUMONIAE DUE TO CORONAVIRUS,"Active, not recruiting",No Results Available,SARS-CoV-2 Infection (COVID-19),Drug: Colchicine plus symptomatic treatment (paracetamol)|Drug: Symptomatic treatment (paracetamol or best symptomatic treatment based on doctor recommendations),"Atención primaria (Área 2), Laredo, Cantabria, Spain|Gerencia de atención primaria (Área 3), Reinosa, Cantabria, Spain|Atencion primaria (AREA 1), Santander, Cantabria, Spain|Gerencia de atención primaria (área 4), Torrelavega, Cantabria, Spain",https://ClinicalTrials.gov/show/NCT04416334,Inclusion Criteria:,"Males and females, at least 70 years of age.
Patient must have received diagnosis of COVID-19 infection within the last 24 hours, confirmed by PCR test.
Patient must be able to read and/or understand the informed consent information, read by another person, and the information collected on patient information document.
Outpatient setting (not currently hospitalized or under immediate consideration for hospitalization) or institutionalized in a nurse home.
Patient must meet at least one of the following high-risk criteria: diabetes mellitus, uncontrolled hypertension (systolic blood pressure ≥180 or diastolic blood pressure ≥110 mmHg), known respiratory disease (including asthma or chronic obstructive pulmonary disease), known heart failure, known coronary disease, bicytopenia or pancytopenia, or the combination of high neutrophil count and low lymphocyte count.
Patient must be able and willing to comply with the requirements of this study protocol.",Exclusion Criteria:,"Patient unable to read and/or understand the informed consent information, read by another person, and the information collected on patient information document.
Patient currently hospitalized or under immediate consideration for hospitalization.
Patient under colchicine prescription for other pathologies.
Patient with a history of an allergic reaction or significant sensitivity to colchicine.
Patient with a history of gastrointestinal severe disease such as inflammatory bowel disease, gastric ulcer, chronic diarrhea, or malabsorption.
Patient with neuromuscular progressive previous diagnosed disease.
Patient with renal disease diagnosis and estimated glomerular filtration less than 30 ml/min in 1.73².
Patient with a history of cirrhosis, chronic active hepatitis, or severe liver disease.
Patient undergoing chemotherapy for cancer, including hematologic malignancies.
Patients who are being treated with CYP3A4 and / or glycoprotein P inhibitor drugs.
Immunossuppresive therapy.
History of cirrhosis, active chronic hepatitis, severe chronic disease defined by GOT or GPT values that exceed 3 times the upper limit of normality.
If the investigator considers that the patient, for any reason, would be an inappropriate candidate."
160,160,161,Personalised Immunotherapy for SARS-CoV-2 (COVID-19) Associated With Organ Dysfunction,Recruiting,No Results Available,COVID-19|Virus Diseases|Macrophage Activation Syndrome|Corona Virus Infection,Drug: Anakinra|Drug: Tocilizumab,"2nd Department of Critical Care Medicine, ATTIKON University Hospital, Athens, Haidari, Greece|Intensive Care Unit, Ioannina University Hospital, Ioánnina, Ioannina, Greece|Department of Internal Medicine, Patras University Hospital, Patras, Rion, Greece|Department of Internal Medicine, I PAMMAKARISTOS Hospital, Athens, Greece|Intensive Care Unit, General Hospital of Athens KORGIALENIO-BENAKIO E.E.S., Athens, Greece|1st Department of Pulmonary Medicine and Intensive Care Unit, Athens, Greece|Intensive Care Unit, General Hospital of Athens IPPOKRATEIO, Athens, Greece|4th Department of Internal Medicine, Attikon University Hospital, Athens, Greece|Intensive Care Unit, General Hospital ASKLEPIEIO Voulas, Athens, Greece|Intensive Care Unit, ""Latsio"", Thriasio Elefsis General Hospital, Elefsína, Greece|Intensive Care Unit, ""Koutlimbaneio & Triantafylleio"" Larissa General Hospital, Larissa, Greece|Department of Internal Medicine, Larissa University Hospital, Larissa, Greece|Intensive Care Unit, AGIOS DIMITRIOS General Hospital of Thessaloniki, Thessaloniki, Greece|Intensive Care Unit, G. GENNIMATAS General Hospital of Thessaloniki, Thessaloniki, Greece|Intensive Care Unit, Theageneio Oncological Hospital of Thessaloniki, Thessaloniki, Greece|Intensive Care Unit, General Hospital of Thessaloniki IPPOKRATEIO, Thessaloniki, Greece|Department of Anesthesiology and Intensive Care Medicine, University General Hospital of Thessaloniki AHEPA, Thessaloniki, Greece",https://ClinicalTrials.gov/show/NCT04339712,Inclusion Criteria:,"Age equal to or above 18 years
Male or female gender
In case of women, unwillingness to remain pregnant during the study period.
Written informed consent provided by the patient or by one first-degree relative/spouse in case of patients unable to consent
Confirmed infection by SARS-CoV-2 virus using molecular techniques as defined by the World Health Organization11

Organ dysfunction defined as the presence of at least one of the following conditions:

Total SOFA score greater than or equal to 2;
Involvement of the lower respiratory tract


Total SOFA score greater than or equal to 2;
Involvement of the lower respiratory tract
Laboratory documentation of MAS or immune dysregulation. MAS is documented by the findings of any serum ferritin greater than 4,420ng/ml. immune dysregulation is documented by the combination of two findings: a) serum ferritin equal to or lower than 4,420ng/ml; and b) less than 5,000 receptors of the membrane molecule of HLA-DR on the cell membrane of blood CD14-monocytes or less than 30 MFI of HLA-DR on the cell membrane of blood CD14-monocytes as counted by flow cytometry",Exclusion Criteria:,"Age below 18 years
Denial for written informed consent
Any stage IV malignancy
Any do not resuscitate decision
Active tuberculosis (TB) as defined by the co-administration of drugs for the treatment of TB
Infection by the human immunodeficiency virus (HIV)
Any primary immunodeficiency
Oral or IV intake of corticosteroids at a daily dose equal or greater than 0.4 mg prednisone or greater the last 15 days.
Any anti-cytokine biological treatment the last one month
Medical history of systemic lupus erythematosus
Medical history of multiple sclerosis or any other demyelinating disorder.
Pregnancy or lactation. Women of child-bearing potential will be screened by a urine pregnancy test before inclusion in the study"
161,161,162,Part 2 on the Study Prevalence of SARS -Cov2 Carriage in Asymptomatic and Mildly-symptomatic Children (COVILLE2 ),Not yet recruiting,No Results Available,COVID19,Diagnostic Test: RT-PCR SARS-Cov2|Diagnostic Test: Sars-Cov2 serology,,https://ClinicalTrials.gov/show/NCT04416893,Inclusion Criteria:,"Birth to 15 years old
taking over the community (kindergarten, school, college, holiday centre, etc.) for at least 1 week",Exclusion Criteria:,refusal to participate
162,162,163,Study to Determine the Immunization Status Among Nephrological Health Care Personnel Against SARS-CoV-2 in a Single Center Over the Course of 12 Months During the Worldwide COVID-19 Pandemic.,Recruiting,No Results Available,SARS-CoV 2|Immunization; Infection,,"Medical University of Vienna, Division for Nephrology and Dialysis, Vienna, Austria",https://ClinicalTrials.gov/show/NCT04347694,Inclusion Criteria:,Health Care Personnel and other staff at the Division of Nephrology & Dialysis at the Medical,Exclusion Criteria:,Not matching the inclusion criteria
163,163,164,Antiseptic Mouthwash / Pre-Procedural Rinse on SARS-CoV-2 Load (COVID-19),Not yet recruiting,No Results Available,COVID-19|SARS-CoV 2|Severe Acute Respiratory Syndrome Coronavirus 2|Virus Disease|Coronavirus Infections|Pharyngeal Diseases,Drug: Oral-B Mouth Sore mouthwash|Drug: Crest Pro-Health Multi-Protection mouthwash|Drug: CloSYS mouthwash|Drug: Distilled water,"University Of California, San Francisco, San Francisco, California, United States",https://ClinicalTrials.gov/show/NCT04409873,Inclusion Criteria:,"Ability to gargle
Not having any condition that might worsen with gargling solutions
Not having an allergy to a study mouthwash ingredient
Not using another mouthwash/gargling solution
Not taking antimicrobial medications (antibacterial, antiviral, antibiotics including off-label FDA-approved medications such as hydroxychloroquine)
Anticipated ability to participate in the study for 4 weeks
Have a cellphone and agree to receive text messages for reminders to use mouthwash during the day and for follow-up visits",Exclusion Criteria:,"People who because of their symptoms intend to receive antiviral medications that could potentially affect viral load in their saliva samples
Pregnant or lactating women due to potential aversions to mouthwash solution taste/smell."
165,165,166,"Randomized, Double Blind, Parallel Group, Placebo Controlled, Multi-Center Study of the Efficacy and Safety of Cetirizine HCl Syrup vs. Loratadine Syrup vs. Placebo in Treatment of Children With Seasonal Allergic Rhinitis (SAR)",Completed,No Results Available,"Allergic Rhinitis|Hay Fever|SAR|Rhinitis, Allergic, Seasonal",Drug: Cetirizine|Drug: Loratadine|Other: Placebo,,https://ClinicalTrials.gov/show/NCT02932774,Inclusion Criteria:,"Male or female 6 to 11 years of age.
Females who reached menarche either before or during the study, agreed to use acceptable methods of birth control if they became sexually active. Acceptable birth control was defined as oral contraceptives or Norplant®.
Outpatient.
History and diagnosis of seasonal allergic rhinitis (SAR) to a prevalent allergen (grass or tree).
SAR to a prevalent allergen (grass or tree) of such severity that it required pharmacologic therapy each year for the last 2 consecutive years (including the present year).
Documented SAR to a prevalent allergen (grass or tree) as confirmed by a recognized skin test (prick, intradermal [ID], or Multitest®) within the previous 15 months (Prick/Puncture wheal® ≥3 mm over the negative control; ID [up to concentration of 1:1000 w/v or 1000 protein nitrogen units (PNU)] wheal® ≥5 mm over the negative control). Documentation of SAR must have occurred at Visit 1 or within 15 months prior to Visit 1. If not performed at Visit 1, SAR testing must have been performed in the Principal Investigator's office or full documentation must have been available prior to randomization.
Diary-recorded rhinoconjunctivitis symptom scores (24 hour reflective) that included at least two symptoms (sneezing, runny nose, itchy eyes, or watery eyes) at moderate severity (i.e., symptom score ≥2) on at least 4 days between Visits 1 and 2.
Diary-recorded TSSC score ≥5 (based on the four symptoms noted in the criteria above) on any 4 days between Visits 1 and 2.
Someone (subject and parent/legal guardian) from whom the Principal Investigator or study personnel would have expected conscientious cooperation over the duration of the study.
A written informed assent must have been provided by the subject and a written informed consent must have been provided by the parent/legal guardian at Visit 1.",Exclusion Criteria:,"Had clinically significant nasal anatomical deformities with > 50% obstruction (i.e., septal defects, polyps).
Experienced an episode of acute sinusitis or an upper respiratory tract infection (URTI) including otitis media and the common cold) within 21 days of Visit 1.
Had a history of chronic sinusitis.
Initiated or advanced an immunotherapy regimen during the course of the study. Subjects receiving a maintenance dose of immunotherapy were eligible.
Had a history of attention deficit/hyperactivity disorder (ADHD) that was considered unstable by the Investigator, or if pharmacotherapy (i.e., Ritalin®, Adderall®) was required, subject must have been on pharmacotherapy for at least 1 month prior to Visit 1. The pharmacotherapeutic regimen was to remain stable during the conduct of the study.
Had a history of learning disabilities or intellectual impairment that, in the opinion of the Investigator, would prevent the subject from participating in the study.
Had impaired hepatic function (cirrhosis, hepatitis), glaucoma, or any symptomatic infection, any clinically significant hematologic, renal, endocrine, or gastrointestinal disease, and/or current neuropsychiatric condition with or without drug therapy, that was judged by the Investigator to be clinically significant and/or affect the subject's ability to participate in the clinical trial.
Had a history of malignancy (except basal cell carcinoma), epilepsy or seizures (excluding febrile seizures), excessive alcohol intake or drug addiction, hypertension, or other clinically significant cardiovascular disease.
Had a physical examination abnormality considered by the Investigator to be clinically significant and limiting to the study's conduct, unless the abnormality was related to underlying allergic rhinitis.
Had a history of an allergy or hypersensitivity to cetirizine, loratadine, hydroxyzine, or any of their ingredients.
Had asthma, which required any of the following within the past 30 days: 1) admission to the hospital, 2) emergency room visit, or 3) a change in dosing regimen. Subjects were allowed to continue theophylline, long acting β2 agonists, inhaled cromoglycate no more than 6.4 mg/day, or nedocrimil no more than 14 mg/day. Subjects were allowed to continue inhaled corticosteroids in doses not exceeding those listed in Appendix B of the study protocol, as long as the dose did not change during the study. Subjects were allowed the use of short acting β2 agonists on an as needed (PRN) basis.
Had used intranasal or intra ophthalmic corticosteroids; oral leukotriene modifiers or leukotriene receptor antagonists within 14 days; or systemic (intramuscular and/or intravenous and/or oral) corticosteroids within 35 days prior to Visit 2. Topical corticosteroids for skin were allowed if covering ≤10% of body surface without occlusion.
Used intranasal cromolyn (Nasalcrom®), optical cromolyn (Crolom®), ipratropium bromide (Atrovent® Nasal Spray), azelastine hydrochloride (Astelin® Nasal Spray), monamine oxidase (MAO) inhibitors, or beta blockers for the treatment of migraine headaches within 14 days prior to Visit 2.
Used antiallergic ophthalmic treatments such as Acular®, Patanol®, or Alomide® within 7 days prior to Visit 2.
Used H1-receptor antagonists (oral and topical), H2-receptor antagonists, or decongestants after Visit 1.
Used tricyclic antidepressants, tranquilizers, or antiemetics of the phenothiazine class within 14 days prior to Visit 2.
Used oral macrolide antibiotics or oral antifungals within 7 days prior to Visit 2.
Used saline nasal spray or ocular drops (unless for contact lens use) within 72 hours prior to Visit 2.
Participated in any other studies involving investigational or marketed products within 30 days prior to entry into the study or participated in studies which involved norastemizole, or monoclonal anti-immunoglobulin E (IgE) antibody within 90 days prior to entry into the study.
Donated blood or blood products for transfusion within 30 days prior to initiation of treatment with study drug and at any time during the study."
167,167,168,Honey & Nigella Sativa Trial Against COVID-19,Recruiting,No Results Available,Coronavirus Infection|Sars-CoV2,Drug: Honey|Drug: Nigella Sativa / Black Cumin|Drug: Placebos,"Kingedward Medical University, Mayo Hospital, Lahore, Punjab, Pakistan|Federal Post-Graduate Medical Institute, Shaikh Zayed Hospital, Lahore, Punjab, Pakistan|Services Institute of Medical Sciences, Services Hospital, Lahore, Punjab, Pakistan",https://ClinicalTrials.gov/show/NCT04347382,Inclusion Criteria:,"Confirmed SARS-CoV-2 (COVID-19) infection by a positive test result with SSC-2 score> 5
Patients admitted in Corona centers",Exclusion Criteria:,"Participants not giving consent.
Pregnant and lactating females.
History of allergy to any drug being administered in this study
Severely terminally ill patients
Patients on Nil Per Oral"
169,169,170,Sars-CoV-2/COVID-19 Ivermectin Navarra-ISGlobal Trial,Recruiting,No Results Available,Covid-19|Coronavirus Infection|SARS-CoV-2 Infection,Drug: Ivermectin|Drug: Placebo,"Clinica Universidad de Navarra, Pamplona, Navarra, Spain",https://ClinicalTrials.gov/show/NCT04390022,Inclusion Criteria:,"Patients diagnosed with COVID-19 in the emergency room of the Clínica Universidad de Navarra with a positive SARS-CoV-2 PCR.
Residents of the Pamplona basin (""Cuenca de Pamplona"")
The patient should be aged 18 to 59 years
Negative pregnancy test for women of child bearing age*
The patient or his/her representative, have given consent to participate in the study.

The patient should, in the investigator's opinion, be able to comply with all the requirements of the clinical trial (including home follow up during isolation)

Women of child bearing age may participate if they use a safe contraceptive method for the entire period of the study and at least one month afterwards. A woman is considered to not have childbearing capacity if she is post-menopausal (minimum of 2 years without menstruation) or has undergone surgical sterilization (at least one month before the study)


Women of child bearing age may participate if they use a safe contraceptive method for the entire period of the study and at least one month afterwards. A woman is considered to not have childbearing capacity if she is post-menopausal (minimum of 2 years without menstruation) or has undergone surgical sterilization (at least one month before the study)",Exclusion Criteria:,"Known history of Ivermectin allergy
Hypersensitivity to any component of Stromectol®

COVID-19 Pneumonia

Diagnosed by the attending physician
Identified in a chest X-ray


Diagnosed by the attending physician
Identified in a chest X-ray
Fever or cough present for more than 48 hours
Positive IgG against SARS-CoV-2 by rapid test
Age under 18 or over 60 years

The following co-morbidities (or any other disease that might interfere with the study in the eyes of the investigator):

Immunosuppression
Chronic Obstructive Pulmonary Disease
Diabetes
Hypertension
Obesity
Acute or chronic renal failure
History of coronary disease
History of cerebrovascular disease
Current neoplasm


Immunosuppression
Chronic Obstructive Pulmonary Disease
Diabetes
Hypertension
Obesity
Acute or chronic renal failure
History of coronary disease
History of cerebrovascular disease
Current neoplasm
Recent travel history to countries that are endemic for Loa loa (Angola, Cameroon, Central African Republic, Chad, Democratic Republic of Congo, Ethiopia, Equatorial, Guinea, Gabon, Republic of Congo, Nigeria and Sudan)
Current use of CYP 3A4 or P-gp inhibitor drugs such as quinidine, amiodarone, diltiazem, spironolactone, verapamil, clarithromycin, erythromycin, itraconazole, ketoconazole, cyclosporine, tacrolimus, indinavir, ritonavir or cobicistat. Use of critical CYP3A4 substrate drugs such as warfarin."
171,171,172,Use of Dexmedetomidine in Light to Moderate Sedation in the Patient in the Palliative Situation of a Sars-cov-2 / COVID-19 Infection,Not yet recruiting,No Results Available,COVID-19 Infection|Sars-cov-2|Respiratory Failure|Palliative Situation,Drug: Treatment with Dexmedetomidine,"University Hospital, Limoges, France",https://ClinicalTrials.gov/show/NCT04350086,Inclusion Criteria:,"Major patient
Relating to palliative care
With sars-cov-2 infection
Requiring light to moderate sedation corresponding to a RASS score of -1 to -3",Exclusion Criteria:,"Pregnant, lactating woman.
Hypersensitivity to the active substance or to any of the excipients listed in section 6.1 of the summary of product characteristics
Advanced heart block (level 2 or 3) unless a pacemaker.
Uncontrolled hypotension.
Acute cerebrovascular pathologies.
Use of other sedative drugs"
172,172,173,BCG Vaccination for Healthcare Workers in COVID-19 Pandemic,Recruiting,No Results Available,COVID-19|Sars-CoV2,Biological: Bacille Calmette-Guérin (BCG)|Other: Placebo Comparator,"TASK Foundation, Cape Town, Western Cape, South Africa",https://ClinicalTrials.gov/show/NCT04379336,Inclusion Criteria:,"Men and women aged ≥18 years
HCW or other frontline staff currently in contact with, or anticipated to be in contact with, patients with SARS-CoV-2 infection.
Ability and willingness to provide informed consent.
Can be reached by mobile phone for follow-up",Exclusion Criteria:,"Known allergy to (components of) the BCG vaccine or serious reaction to prior BCG administration.
Known active tuberculosis or any other active or uncontrolled condition that, in the opinion of the investigator or designee, makes participation unsafe or makes it difficult to collect follow-up data over the study period.

HIV-1 infection
̵ NOTE: If evidence of recent HIV negative test is not available, rapid point-of-care testing will be undertaken as part of screening with a separate informed consent process.

Symptoms of respiratory tract infection which, in the opinion of the investigator or designee, is likely to interfere with the objectives of the study.

Known medical history of any of the following immunocompromised states:

Neutropenia (less than 500 neutrophils/mm3)
Lymphopenia (less than 400 lymphocytes/mm3)
Solid organ or bone marrow transplantation
Primary immunodeficiency
Active solid or non-solid malignancy or lymphoma within the prior two years
Pregnancy and breastfeeding


Neutropenia (less than 500 neutrophils/mm3)
Lymphopenia (less than 400 lymphocytes/mm3)
Solid organ or bone marrow transplantation
Primary immunodeficiency
Active solid or non-solid malignancy or lymphoma within the prior two years
Pregnancy and breastfeeding

Current treatment with the following medications:

Chemotherapy
Anti-cytokine therapies
Current treatment with oral or intravenous steroids defined as daily doses of 10mg prednisone or equivalent for longer than 3 months
Any experimental, unproven treatment against SARS-CoV-2 infection or COVID-19 including but not limited to chloroquine, hydroxychloroquine, remdesivir, lopinavir/ritonavir and interferon beta-1a.


Chemotherapy
Anti-cytokine therapies
Current treatment with oral or intravenous steroids defined as daily doses of 10mg prednisone or equivalent for longer than 3 months
Any experimental, unproven treatment against SARS-CoV-2 infection or COVID-19 including but not limited to chloroquine, hydroxychloroquine, remdesivir, lopinavir/ritonavir and interferon beta-1a."
176,176,177,Long Term Functional Outcomes of COVID-19 Patients Treated by Rehabilitation Services viaTelehealth,Recruiting,No Results Available,SARS-CoV 2|SARS Pneumonia,Behavioral: Therapy Intervention,"Missouri Orthopedic Institute, Columbia, Missouri, United States",https://ClinicalTrials.gov/show/NCT04385901,Inclusion Criteria:,">Age of 18
Positive COVID-19 diagnosis in the last 6 months",Exclusion Criteria:,Age of <18
178,178,179,Hydroxychloroquine Chemoprophylaxis for COVID-19 Infection in High-risk Healthcare Workers.,Not yet recruiting,No Results Available,SARS-CoV-2|Healthcare Workers,Drug: Hydroxychloroquine|Drug: Placebo oral tablet,,https://ClinicalTrials.gov/show/NCT04370015,Inclusion Criteria:,"Adult healthcare workers all genders ≥ 18 to ≤ 60 years of age upon study consent.

Healthcare workers (doctors and nurses) at Services hospital, Lahore considered work at high-risk of SARS-CoV-2 exposure (defined below):

Healthcare workers in Corona triage areas.
Healthcare workers in Corona Isolation Units.
Healthcare workers in Corona ICUs.
Healthcare workers in general medical wards.
Healthcare workers in general surgical wards.
Healthcare workers in other units not directly dealing with suspected Corona patients e.g. Endocrinology department


Healthcare workers in Corona triage areas.
Healthcare workers in Corona Isolation Units.
Healthcare workers in Corona ICUs.
Healthcare workers in general medical wards.
Healthcare workers in general surgical wards.
Healthcare workers in other units not directly dealing with suspected Corona patients e.g. Endocrinology department
Afebrile with no constitutional symptoms.
No household contact with confirmed active SARS-CoV-2 infection in the last 3 weeks.
Negative PCR at visit 0.
Willing and able to comply with scheduled visits, treatment plan, and other study procedures.
Willing to not take any other medicines especially fluoroquinolones and macrolides for the duration of study.
Signed informed consent, demonstrating that the subject understands the interventions required for the study and the purpose of the study.",Exclusion Criteria:,"Participation in other investigational clinical trials for the treatment or prevention of SARS-CoV-2 infection within 30days.
Subjects unwilling to practice at least one highly effective method of birth control for the duration of the study.
Having a prior history of blood disorders such as aplastic anemia, agranulocytosis, leukopenia, or thrombocytopenia or prior history of glucose-6-phosphate dehydrogenase (G-6-PD) deficiency.
Having H/O skin disorders e.g. dermatitis, psoriasis or porphyria.

Taking any of the following medication:

Anti-arrythmic agents including digoxin.
GI drugs including antacids, proton-pump inhibitors, cimetidine.
Anti-cancer treatment including methotrexate, cyclosporin.
Anti-diabetic agents including insulin.
Corticosteroids.
Drugs causing QT interval prolongation especially antidepressants, anti-epileptics and macrolides.
Drugs affecting electrolyte balance including diuretics, laxatives.
Drug allergies: 4-Aminoquinolines.


Anti-arrythmic agents including digoxin.
GI drugs including antacids, proton-pump inhibitors, cimetidine.
Anti-cancer treatment including methotrexate, cyclosporin.
Anti-diabetic agents including insulin.
Corticosteroids.
Drugs causing QT interval prolongation especially antidepressants, anti-epileptics and macrolides.
Drugs affecting electrolyte balance including diuretics, laxatives.
Drug allergies: 4-Aminoquinolines.
Pre-existing retinopathy/maculopathy of the eye.
Known chronic liver disease or cirrhosis, including hepatitis B and/or untreated hepatitis.
Previous history of severe hypoglycaemia.
Known case of renal disease.
Untreated or uncontrolled active bacterial, fungal infection.
Known or suspected active drug or alcohol abuse.
Women who are pregnant or breastfeeding.
Known hypersensitivity to any component of the study drug.
A known history of prolonged QT syndrome or history of additional risk factors for arrythmias (e.g., heart failure, family history of Long QT Syndrome).
Known H/O respiratory disorders e.g. asthma, chronic obstructive pulmonary disease."
179,179,180,Magnetic Resonance Imaging to Detect Signs of Viral Pneumonia in Patients With Coronavirus Infection: Multicenter Prospective Study,Recruiting,No Results Available,Coronavirus Infections|Pneumonia,Diagnostic Test: Chest MRI,"Olga Panina, Moscow, Russian Federation",https://ClinicalTrials.gov/show/NCT04424355,Inclusion Criteria:,"A referral from the attending physician for a chest CT scan
Suspected pneumonia
Signed informed consent
Over 18 years old",Exclusion Criteria:,"Pregnant or nursing women
Presence of foreign implanted objects in the body at the scan level (including cardiac pacemakers, spine metalware)"
180,180,181,International SARS-CoV-2 (COVID-19) Infection Observational Study,Not yet recruiting,No Results Available,COVID|COVID19|SARS-CoV 2|Dyspnea,Other: Data Collection,"Denver Public Health, Denver, Colorado, United States|Hospital General de Agudos JM Ramos Mejia Servicio de Inmunocomprometidos, Buenos Aires, Argentina|CHIP Department of Infectious Diseases, Copenhagen, Denmark|University College London Medical School Centre for Sexual Health and HIV Research, London, England, United Kingdom",https://ClinicalTrials.gov/show/NCT04385251,Inclusion Criteria:,,Exclusion Criteria:,
181,181,182,COVID-19: Povidone-Iodine Intranasal Prophylaxis in Front-line Healthcare Personnel and Inpatients,Recruiting,No Results Available,COVID-19|SARS-CoV 2,Drug: Povidone-Iodine Nasal Spray and Gargle,"University of Kentucky, Lexington, Kentucky, United States",https://ClinicalTrials.gov/show/NCT04364802,Inclusion Criteria:,"healthcare worker OR
patient with expected hospital stay of 7+ days OR
patient admitted for major surgery
COVID19 negative by nasal swab test
asymptomatic for COVID19
able to consent",Exclusion Criteria:,"positive for COVID19 by nasal swab
symptomatic for COVID19
unable to consent"
182,182,183,Nigella Sativa in COVID-19,Recruiting,No Results Available,COVID-19|SARS-CoV-2,Dietary Supplement: Nigella sativa,"King Abdulaziz University Hospital, Jeddah, Saudi Arabia",https://ClinicalTrials.gov/show/NCT04401202,Inclusion Criteria:,"Patients with COVID19 upper respiratory tract infection with no evidence of pneumonia
Adult (18 Years and above)
Written informed consent prior to initiation of any study procedures by the patient (or legally authorized representative).
Understands and agrees to comply with planned study procedures.
Has laboratory-confirmed novel coronavirus (SARS-CoV-2) infection as determined by polymerase chain reaction (PCR) available at KAUH.",Exclusion Criteria:,"Patients with pneumonia or severe illness requiring admission to ICU.
Severe chronic kidney disease (i.e. estimated glomerular filtration rate (eGFR) < 30) or end stage renal disease requiring dialysis
Sever chronic liver disease (Alanine transaminase/aspartate transaminase (ALT/AST) > 5 times the upper limit of normal).
Pregnancy or breast feeding.
Anticipated transfer to another hospital which is not a study site within 72 hours.
Allergy to any study medication."
183,183,184,The Prone Position in Covid-19 Affected Patients,"Active, not recruiting",No Results Available,Sars-CoV2,Procedure: Prone position,"ASST Monza, Monza, MB, Italy",https://ClinicalTrials.gov/show/NCT04365959,Inclusion Criteria:,"Age> = 18 years old or <= 75 years old
Diagnosis of COVID related pneumonia requiring oxygen or CPAP support",Exclusion Criteria:,"pregnant patients
patients with impaired consciousness and / or uncooperative
patients with NYHA class> II
patients with high proBNP
patients with COPD
contraindications evidenced by the physicians"
