,Inclusion Criteria,Exclusion Criteria
140,"Histologically or cytologically confirmed NSCLC: it is recommended to obtain adequate tissue samples for EGFR mutation analysis.
Unresectable stage IIIA (N2) or stage IIIB NSCLC defined as:unresectability confirmed by Surgeon /Stage IIIa T1-3 N2/Stage IIIb T1-4 N3/Stage IIIb T4 N2
Age 18 years over.
ECOG performance status of 0 or Tumor work-up: within 4 weeks prior 1st day of treatment: chest X-ray; CT of chest, liver, and adrenal glands; bone scan; brain MRI
Measurable or un-measurable disease (according to RECIST criteria), documented by CT, MRI, X-ray, or physical exam, as appropriate.
Hematology (within 1 week before 1st day of treatment)Absolute Neutrophil Count ³0 x 109/L; Platelet ³100 x 109/L; Hemoglobin ³10 g/dl
Liver function test (within 1 week before 1st day of treatment)Serum bilirubin £1 x UNL; AST & ALT £5 x UNL
Renal function (within 1 week before 1st day of treatment)Serum creatinine £1 x UNL. In case of borderline value, 24h creatinine clearance should be > 60 mL/min.
1Pulmonary function (within 4 weeks before 1st day of treatment)FEV1 ³ 1 Liter
1ECG without significant abnormalities within 4 weeks before 1st day of treatment.
1Written informed consent.","T4 with malignant pleural effusion.
Any prior therapy (chemotherapy, immunotherapy, biologic therapy such as EGFR-targeted therapy, radiotherapy) for lung cancer.
History of prior malignancies, except for cured non-melanoma skin cancer, curatively treated in-situ carcinoma of the cervix or other cancer curatively treated and with no evidence of disease for at least 5 years.
Unintended weight loss > 10% within the last 3 months.
Other serious concomitant illness or medical conditions:
Congestive heart failure or angina pectoris except if it is medically controlled. Previous history of myocardial infarction within 1 year from study entry, uncontrolled hypertension or arrhythmia.
History of significant neurological or psychiatric disorders including dementia or seizures.
Active infection requiring IV antibiotics.
Active ulcer, unstable diabetes mellitus or other contra-indication of corticosteroid therapy.
1Significant gastrointestinal abnormalities, including requirement for intravenous nutrition, active peptic ulcer disease, prior surgical procedures affecting absorption.
1Pregnant or lactating women-Patients (male or female) with reproductive potential not implementing adequate contraceptive measures.
1Concurrent treatment with any other experimental anti-cancer drugs.
1Concurrent use of phenytoin, carbamazepin, barbiturates, or rifampin.
1Mental condition rendering the patient unable to understand the nature, scope, and possible consequence of the study.
1Patient unlikely to comply with protocol, i.e., uncooperative attitude, inability to return for follow-up visits, and not likely to complete the study."
141,"Histologically or cytologically confirmed diagnosis of adenocarcinoma of lung with or without BAC features; however, adenocarcinoma combined with other histology, such as small cell carcinoma or squamous carcinoma, is not allowed.
Stage IIIB with malignant pleural effusion/pleural seeding or stage IV patients
Age 18-75
Never-smoking defined as not more than 100 cigarettes during the lifetime
ECOG performance status of 0-2
No prior invasive malignancies 5 years prior to study entry except adequately treated cutaneous basal cell carcinoma or uterine cervix in situ cancer
Serum creatinine ≤ 5 mg/dL, serum bilirubin ≤ 2 mg/dL (1 x UNL) and SGOT/SGPT ≤ 100 IU/L (5 x UNL)
Serum Hgb ≥ 10 gm/dl, platelet count ≥ 100,000/ul, total WBC count >= 4,000/uL, absolute neutrophil count ≥ 1,500/ul
Patients must sign an informed consent indicating that they are aware of the investigational nature of the study in keeping with the policy of the hospital. The only approved consent form is attached to this protocol
1The presence of CNS metastases is not considered as an exclusion criterion, provided that there is good control of the symptoms with corticosteroids","Pregnancy or breast-feeding (women of child-bearing potential). Women of childbearing potential must practice acceptable methods of birth control to prevent pregnancy.
Major surgery other than biopsy within the past two week.
Known severe hypersensitivity to Gefitinib or any of the excipients of this product
Any evidence of clinically active interstitial lung disease (patients with chronic, stable, radiographic changes who are asymptomatic need not be excluded)
As judged by the investigator, any evidence of severe or uncontrolled systemic disease (e.g., unstable or uncompensated respiratory, cardiac, hepatic, or renal disease)
Evidence of any other significant clinical disorder or laboratory finding that makes it undesirable for the subject to participate in the study
Concomitant use of phenytoin, carbamazepine, rifampicin, barbiturates, or St John's Wort
Treatment with a non-approved or investigational drug within 30 days before Day 1 of study treatment."
142,"Age: older than 20
Eastern Cooperative Oncology Group (ECOG) performance status 0 -2
Histologically confirmed lung cancer, pancreatic cancer, or colon cancer
Patients take EGFR inhibitor following the reason
1) EGFR mutation (+) NSCLC - adenocarcinoma for 1st line treatment
2) NSCLC - for ≥ 2nd line treatment
3) Pancreatic cancer - adenocarcinoma for 1st line treatment with Gemcitabine
4) Colon cancer - adenocarcinoma 1st line treatment with Irinotecan (FOLFIRI)
Patients who have EGFR inhibitor related skin side effects (ERSE) Gr≥2 (NCICTC V0)
A patient with the willingness to comply with the study protocol during the study period and capable of complying with it
A patient who signed the informed consent prior to the participation of the study and who understands that he/she has a right to withdrawal from participation in the study at any time without any disadvantages","A patient with previous active or passive immunotherapy
A pregnant or lactating patient
A patient of childbearing potential without being tested for pregnancy at baseline for positive. (A postmenopausal woman with the amenorrhea period of at least 12 months or longer is considered to have non-childbearing potential.)
A patient with history of uncontrolled seizures, central nervous system disorder or psychiatric disorders that are considered clinically significant by the investigator that would prohibit the understanding of informed consent or that may be considered to interfere with the compliance of the administration of the study medications
A patient with history of dermatologic care (except transient urticaria) within 4 weeks
A patient with clinically significant (i.e. active) heart disease (e.g. congestive heart failure, symptomatic coronary artery diseases, cardiac arrhythmias, etc) or myocardial infarction within past 12 months
A patient with interstitial pneumonia or diffused symptomatic fibrosis of the lungs.
Organ allogenic transplantation requiring immunosuppressive therapy. Any waiver of these inclusion and exclusion criteria must be approved by the investigator and the sponsor on a case-by case basis prior to enrolling the subject
Known allergies, hypersensitivity, or intolerance to study drugs, chemotherapy drugs using this clinical trial"
143,patients undergoing lung surgery under one-lung ventilation,"arrhythmia
moderate to severe valvular heart disease moderate to severe pericardial effusion left ventricular ejection fraction < 40%
moderate to severe chronic obstructive lung disease
unable to insert oesophageal Doppler Monitor (ODM) probe ( esophageal stent, esophageal cancer, previous esophageal surgery, esophageal stricture, esophageal varices, pharyngeal pouch and severe coagulopathy )
patient refusal
cannot understand the protocol
less than 50kg or over 100kg in weight"
144,"American Society of Anesthesiologists (ASA) physical status 1 or 2
Elective lung surgery requiring lateral decubitus positioning and one-lung ventilation using left-sided DLT","Patients requiring a right-sided DLT.
Patients with an intraluminal lesion in the left mainstem bronchus (LMB).
Patients with an anatomical problem in the tracheobronchial tree.
Patients with impaired lung such as chronic obstructive pulmonary disease.
Patients who refused to participate in this study."
145,"The inclusion criteria included patients scheduled video-assisted thoracoscopic surgery for lung cancer
Adults above 20 years of age and providing informed consent.
American Society of Anesthesiologists (ASA) Physical class II, & III patients","severe functional liver or kidney disease
history of chronic pain requiring opioid treatment
arrhythmia or received treatment with antiarrythmic drug .
severe bradycardia (HR < 45 bpm) and AV block
pathologic esophageal lesion (esophageal stricture or varix )
pregnancy
psychiatric/central nervous system disturbance that would preclude completion of the QoR-40 questionnaire
History of alcohol or drug abuse"
146,"ASA physical status class I, II
Use of Double lumen tube
Unilateral lung lobectomy","COPD
CAOD
Unstable hemodynamic status
Peak airway pressure > 30mmHg (Two lung ventilation)"
147,"Histologically or cytologically confirmed diagnosis of adenocarcinoma of lung with or without BAC features; however, adenocarcinoma combined with other histology, such as small cell carcinoma or squamous carcinoma, is not allowed.
Stage IIIB (not amenable for radical loco-regional therapy) or stage IV (metastatic) patients according to the 7th TNM staging system
Age 18-75
Never-smoking defined as not more than 100 cigarettes during the lifetime
ECOG performance status of 0-2
Good organ function
The presence of CNS metastases is not considered as an exclusion criterion, provided that there is good control of the symptoms with corticosteroids
Patients must sign an informed consent indicating that they are aware of the investigational nature of the study in keeping with the policy of the hospital. The only approved consent form is attached to this protocol","Patients with prior exposure to agents directed at the HER
Patients with prior chemotherapy or therapy with systemic anti-tumour therapy for advanced disease.
Lack of physical integrity of the upper gastrointestinal tract, or malabsorption syndrome, or inability to take oral medication, or have active peptic ulcer disease.
Known severe hypersensitivity to gefitinib or to any of the study drugs.
Any evidence of clinically active interstitial lung disease
Concomitant use of phenytoin, carbamazepine, rifampicin, barbiturates, or St John's Wort
Prior invasive malignancies 3 years prior to study entry except adequately treated cutaneous basal cell carcinoma or uterine cervix in situ cancer
As judged by the investigator, any evidence of severe or uncontrolled systemic disease
Evidence of any other significant clinical disorder or laboratory finding that makes it undesirable for the subject to participate in the study
1Treatment with a non-approved or investigational drug within 30 days before Day 1 of study treatment.
1Pregnancy or breast-feeding (women of child-bearing potential).
1Sexually active males and females (of childbearing potential) unwilling to practice acceptable methods of birth control"
148,"aged above or equal to 18
Histologically confirmed lung cancer patients
Patient treated with immune checkpoint inhibitor",
149,"Age between 20 and 65 years
ASA class 1 and 2
Patients who are scheduled for video-assisted thoracic surgery","Allergy to local anesthetics or contraindication to use of lidocaine
Pregnancy
Severe cardiovascular disease
Renal failure
Liver failure
Neurologic and psychologic disease
Chronic treatment with analgesics or chronic pain patients
Previous history of thoracic surgery (open or video-assisted)
Patients' refusal"
150,"Patients with advanced ALK fusion oncogene positive lung adenocarcinoma that have progressed after 1-2 ALK inhibitors, with at least one prior line of 2nd generation ALKi (i.e. Ceritinib, Alectinib, Brigatinib or Ensartinib)
The availability of sufficient plasma
Age ≥ 21 years
WHO performance status ≤ 2
Life expectancy of ≥ 21 weeks
Patients should have adequate organ function for potential consideration into clinical trials (routine blood tests are valid within 14 days before enrollment):
1) Adequate bone marrow function as shown by: ANC ≥ 0x10^9/L, Platelets ≥ 75x10^9/L, Hb ≥ 5 g/dL
2) Alanine aminotransferase (ALT) and aspirate aminotransferase (AST) normal range (or ≤ 0xULN if liver metastases are present)
Willing to provide signed informed consent
Patients whom do not fulfill the above criteria may be discussed on a case-by-case basis within the study team, for potential enrolment","Received more than 2 prior ALK inhibitors (ALKi)
Symptomatic or uncontrolled brain metastases requiring concurrent treatment inclusive but not limited to surgery and radiation. Stable/ tailing doses of corticosteroids is permitted"
151,"Male or female ≥ 20 years of age
Histologically or cytologically confirmed non-small cell lung cancer
Diagnosis of NSCLC in stage IIIB/IV unsuited to radical radiotherapy according to UICC-TNM classification (7th edition) or recurrent NSCLC
Has at least one measurable lesion, as defined by the RECIST guideline (version 1)","Current or prior severe hypersensitivity to another antibody product
Multiple primary cancers"
152,"At least 18 years of age
Histological or cytological diagnosis of SCLC
Limited disease (LD) or Extensive disease (ED) at time of study entry
Recurrent or progressive SCLC ≥ 90 days of duration of response for firstline therapy
Measurable disease defined by RECIST criteria
ECOG Performance Status of 0, 1, or 2
Life expectancy ≥ 3 months
Adequate bone marrow, Renal, Hepatic reserve:
absolute neutrophil (segmented and bands) count (ANC) ≥ 1500 cells/mm3 platelet count ≥ 100,000 cells/ mm3 hemoglobin ≥ 9 g/dL Total bilirubin ≤ 5 mm3 Alanine aminotransferase (ALT) and aspartate aminotransferase(AST) ≤ 0 X ULN Alkaline Phosphatase (ALP) ≤ 0 X ULN Serum creatinine ≤ 5mg/dL or calculated creatinine clearance > 60mL/min
Signed a written informed consent","Active infection
Symptomatic brain lesion
Any other type of cancer during the previous 5 years
Severe concurrent diseases
Prior anticancer therapy within 4 weeks before enroll
Active pregnancy test and Pregnant or nursing women
Participation in any investigational drug study within 28 days prior to study entry"
153,"Age ≥18 years
Histologically or cytologically documented NSCLC with resectable (Stage IIA to select [ie, N2] Stage IIIB) disease
World Health Organization (WHO)/ECOG PS of 0 or 1 at enrollment
At least 1 lesion, not previously irradiated, that qualifies as a RECIST 1 Target Lesion (TL) at baseline
No prior exposure to immune-mediated therapy including, but not limited to, other anti-CTLA-4, anti-PD-1, anti-PD-L1, and anti-PD-L2 antibodies, excluding therapeutic anticancer vaccines
Adequate organ and marrow function
Confirmation of a patients tumour PD-L1 status
Documented EGFR and ALK status","History of allogeneic organ transplantation
Active or prior documented autoimmune or inflammatory disorders (including inflammatory bowel disease, diverticulitis, systemic lupus erythematosus, Sarcoidosis syndrome, or Wegener syndrome)
History of another primary malignancy
History of active primary immunodeficiency
Active infection including tuberculosis hepatitis B, or human immunodeficiency virus
Deemed unresectable NSCLC by multidisciplinary evaluation
Patients who have pre-operative radiotherapy treatment as part of their care plan
Patients who have brain metastases or spinal cord compression
Stage IIIB N3 and Stages IIIC, IVA, and IVB NSCLC
1Mixed small cell and NSCLC histology
1Patients who are candidates to undergo only segmentectomies or wedge resections"
154,"Subjects with histologically- or cytologically-documented NSCLC
Locally advanced, unresectable (Stage III) NSCLC
World Health Organisation (WHO) performance status 0-1
At least one measurable lesion, not previously irradiated
Must have a life expectancy of at least 12 weeks at randomization","Receipt of prior or current cancer treatment, including but not limited to, radiation therapy, investigational agents, chemotherapy, Durvalumab and mAbs.
Prior exposure to immune-mediated therapy, including but not limited to, other anti CTLA-4, anti-PD-1, anti-PD-L1, and anti PD L2 antibodies, excluding therapeutic anticancer vaccines.
History of allogeneic organ transplantation
Active or prior documented autoimmune or inflammatory disorders
Uncontrolled intercurrent illness
History of another primary malignancy / leptomeningeal carcinomatosis / active primary immunodeficiency
Active infection including tuberculosis, hepatitis B, hepatitis C, or human immunodeficiency virus
Mixed small cell and NSCLC histology
Any medical contraindication to treatment with platinum-based doublet chemotherapy as listed in the local labelling
1Known allergy or hypersensitivity to any of the IPs or any of the IP excipients.
1Patients whose radiation treatment plans are likely to encompass a volume of whole lung receiving ≥20 Gy in total (V20) of more than 35% of lung volume."
155,"Men or women 18 years of age or older
Must have Non-small Cell Lung Cancer with ALK+ mutation or other mutations or rearrangements potentially sensitive to crizotinib
Measurable disease
Must have been receiving or have received crizotinib
Have adequate cardiac, bone marrow, liver and kidney function
Must be willing and able to provide written informed consent and comply with the protocol and study procedures","Prior anti-cancer treatment with any HSP90 inhibitor
Have received chemotherapy, radiation therapy or other anticancer treatment other than crizotinib within 3 weeks prior to the first dose of study drug
Prior malignancy other than adequately treated basal or squamous cell carcinoma of the skin, superficial bladder cancer, low-grade cervical cancer, non-metastatic prostate cancer, or have been disease-free for at least 3 years
Abnormal heart function
Presence of a life-threatening illness, medical condition, organ system dysfunction, or other factors
Hypersensitivity of AT13387 or other components of the drug product
Treatment with an investigational drug within 3 weeks prior to the first dose of study drug
Severe systemic diseases or active uncontrolled infections
Known history of human immunodeficiency virus (HIV) or seropositive test for hepatitis C virus or hepatitis B virus"
156,"Histologically confirmed diagnosis of non-small cell carcinoma of the lung. Patients must have an adequate histopathology or cytology specimen must consent to release of all specimens for this protocol, and the centre/pathologist must have agreed to submission of the specimens.
Patients must have evidence of disease, but measurable disease is not mandatory. To be considered evaluable for complete or partial response assessment, patients must have at least one measurable lesion as follows:

X-ray ≥ 20 mm Spiral CT scan or physical exam ≥ 10 mm (lymph nodes must be ≥ 15 mm in the short axis); Measurable lesions must be outside a previous radiotherapy field if they are the sole site of disease, unless disease progression has been documented.

Male or female, 18 years of age or older.
ECOG performance status of 0, 1, 2 or Patients with performance status of 3 are eligible providing that the investigator attests that the patient has a reasonable life expectancy (≥ 6 weeks).
Adequate renal and hepatic functions as defined by the following required laboratory values obtained within 14 days prior to randomization. If anemic, patients should be asymptomatic and should not be decompensated.

Creatinine <5 upper limit of normal Total bilirubin < 5 upper limit of normal ALT (SGPT) < 5 times the upper limit of normal. Note: If clearly attributable to liver metastasis, ALT (SGPT) values < 5 times the upper limit of normal are permitted.

- Previous Therapy Failure of a treatment regimen is defined as the inability to continue a regimen for any reason including, but not limited to, progressive disease, toxicity, or patient request. Up to a maximum of three lines of chemotherapy for advanced/metastatic disease (defined below) and at least one of erlotinib or gefitinib for advanced/ metastatic disease (defined below) should have failed.

Exchange of one chemotherapy agent for another within a combination chemotherapy regimen is not considered a new regimen in the following circumstances

carboplatin is substituted for cisplatin due to nephrotoxicity
one agent in the combination regimen is changed due to hypersensitivity occurring in the first cycle.
Chemotherapy for Advanced/Metastatic Disease:

Patients must have recovered from any reversible toxic effects and at least 21 days must have elapsed from the last dose and prior to randomization (14 days from the last dose for chemotherapy regimens administered on a weekly schedule). Further palliative cytotoxic chemotherapy must not be planned.

Patients < 70 years:

Must have received 1 and up to a maximum of 3prior chemotherapy regimens (at least one of the three must have been a combination regimen and at least one must have contained platinum).

Patients ≥ 70 years (generally accepted as being at the time of the administration of the first regimen of chemotherapy for advanced disease):

Must have received 1 and up to a maximum of 3 prior chemotherapy regimens for their disease. These may have been single agent chemotherapy regimens and a platinum agent is not required in keeping with current standards of practice.

Adjuvant Chemotherapy: Patients may ALSO have had prior adjuvant therapy for completely resected disease, providing completed at least 12 months prior to randomization. Adjuvant regimens < 12 months prior to randomization and combined chemotherapy/radiation regimens for irresectable locally advanced stage III disease (irrespective of timing), are considered to be for advanced/metastatic disease and constitute one of the 3 permissible regimens. Patients must have recovered from any reversible treatment related toxicities prior to randomization.

EGFR Inhibitor Therapy: Patients may only be enrolled after failure of prior gefitinib or erlotinib for advanced or metastatic disease. Patients who have received adjuvant gefitinib or erlotinib for completely resected NSCLC and who have recurred < 12 months after discontinuing erlotinib or gefitinib are eligible. Patients who received gefitinib or erlotinib for neoadjuvant therapy only are not eligib","Patients who fulfill any of the following criteria are not eligible for admission to the study:
Patients receiving concurrent treatment with other experimental drugs or anti-cancer therapy.
Patients who have experienced untreated and/or uncontrolled cardiovascular conditions and/or have symptomatic cardiac dysfunction (unstable angina, congestive heart failure, myocardial infarction within the previous year or cardiac ventricular arrhythmias requiring medication, history of 2nd or 3rd degree atrioventricular conduction defects). Patients with a significant cardiac history, even if controlled, should have a LVEF > 50%.
Patients with untreated brain or meningeal metastases are not eligible (CT scans are not required to rule this out unless there is a clinical suspicion of CNS disease). Patients with treated CNS disease who have radiologic or clinical evidence of stable brain metastases, with no evidence of cavitation or hemorrhage in the brain lesion, are eligible providing that they are asymptomatic and do not require corticosteroids (must have discontinued steroids at least 1 week prior to randomization).
Patients with active or uncontrolled infections, or with serious illnesses or medical conditions which would not permit the patient to be managed according to the protocol, including
- Severe dry eye syndrome
- Keratoconjunctivitis sicca
- Sjogren's syndrome
- Severe exposure keratopathy
- Disorders that might increase the risk for epithelium-related complications (e.g., bullous keratopathy, aniridia, severe chemical burns, neutrophilic keratitis)
- Uncontrolled inflammatory gastrointestinal diseases (Crohn's, ulcerative colitis etc.)
- Prior pneumonitis/ILD secondary to EGFR inhibitors
Mean QTc with Bazetts correction > 470msec in screening ECG or history of familial long QT syndrome.
Drugs that are highly dependent on CYP2D6 for metabolism are prohibited, since PF-804 is a potent CYP2D6 inhibitor in in vitro assays. These inhibitors or inducers are prohibited from 7 days prior to the first dose until the end of treatment with PF-80These include: S-metoprolol, propafenone, timolol, amitriptyline, clomipramine, desipramine, imipramine, paroxetine, haloperidol, risperidone, thioridazine, codeine, flecainide, mexilletine, tamoxifen, venlafaxine. Lidocaine may be used with clinical monitoring (including telemetry). Opiates such as morphine, oxycodone, dihydrocodeine, hydrocodone, and tramadol can be used as substitutes to replace codeine. Use of these opiates should be monitored for altered analgesia during treatment with PF-804 as they may be partly metabolized by CYP2DIf PF-804 is administered with drugs which are P-glycoprotein (P-gp) substrates and have a narrow therapeutic index, monitoring for exaggerated effect and/or toxicities is recommended.
Pregnancy or inadequate contraception. Women must be post-menopausal, surgically sterile, or use two reliable forms of contraception. Women of child-bearing potential must have a pregnancy test taken and proven negative within 7 days prior to randomization. Men must be surgically sterile or use a barrier method of contraception."
157,"Aged at least 18 years.
Documented evidence of NSCLC (stage IIIB/IV disease)
Disease progression or recurrence after both a platinum-based chemotherapy and at least 1 additional regimen for treatment of NSCLC
World Health Organisation (WHO) Performance Status of 0 or 1
Estimated life expectancy of more than 12 weeks
Patient's tumour sample must be PD-L1 positive (≥25%of tumour cells with membrane staining (Cohort 1 and 2) or PD-L1 positive with ≥90% of tumour cells with membrane staining (Cohort 3))","Prior exposure to any anti-PD-1 or anti-PD-L1 antibody
Brain metastases or spinal cord compression or unless asymptomatic, treated and stable (not requiring steroids).
Active or prior autoimmune disease or history of immunodeficiency
Evidence of severe or uncontrolled systemic diseases, including active bleeding diatheses or active infections including hepatitis B, C and HIV.
Evidence of uncontrolled illness such as symptomatic congestive heart failure, uncontrolled hypertension or unstable angina pectoris.
Any unresolved toxicity CTCAE >Grade 2 from previous anti-cancer therapy.
Any prior Grade ≥3 immune-related adverse event (irAE) while receiving any previous immunotherapy agent, or any unresolved irAE >Grade 1
Active or prior documented inflammatory bowel disease (eg, Crohn's disease, ulcerative colitis)"
158,"Histologically or cytologically diagnosed small cell lung cancer
Extensive disease (distant metastasis, contralateral hilar lymph node involvement, or cytologically confirmed malignant pleural effusion)
If patients have brain metastasis with neurological symptom, they should be stabilized neurologically with prior radiotherapy or surgery for the brain metastasis (no neurologic symptom in progress and without further steroid treatment)
No prior chemotherapy, immunotherapy, surgery or radiotherapy for small cell lung cancer (Local radiotherapy for brain or bone metastasis with symptom is permitted, in which case patients can be enrolled in this study when they have recovered from toxicity of radiotherapy)
One or more measurable disease by RECIST criteria
at least 18 years of age
Performance status of 0, 1 and 2 on the Eastern Cooperative Oncology Group (ECOG) criteria
Adequate hematologic (neutrophil count >= 1,500/uL, platelets >= 100,000/uL), hepatic (transaminase =< upper normal limit(UNL)x5, bilirubin level =< UNLx5), and renal (creatinine =< UNL) function
Informed consent from patient which conforms to Institutional Review Board","History of cured basal cell carcinoma or cured uterine cervical malignancy except for carcinoma in situ within 5 years
Medically uncontrolled serious heart, lung, neurological, psychological, metabolic disease
Uncontrolled serious infection
Enrollment in other study within 30 days"
159,"Obtained written informed consent
Male or female aged at least 18 years. Aged at least 20 if Japanese.
Histologically or cytologically confirmed diagnosis of NSCLC with single activating EGFR mutations (L858R or Exon19Del).
Eastern Cooperative Oncology Group performance status of 0 toFor LM patients, 0 to 2 is acceptable.
In Part A, prior treatment with at least one line of a single agent EGFR TKI and at least 1 line of chemotherapy.
In Part B-BM expansion, patients must have not received any EGFR TKI and have asymptomatic brain metastasis, either found during screening process which does not require local treatment in the opinion of the investigator or local treatment has been given (surgery or radiation), patient must be stable without corticosteroid and/or anti-convulsants treatment for at least 2 weeks before study enrollment. For Part B-LM expansion, patients who received previous EGFR TKI treatment must have stable extracranial disease;EGFR TKI treatment naïve patients can also be enrolled into AZD9291 cohorts, or AZD3759 cohorts if efficacy signal seen in Part A and agreed by Safety Review Committee.
For patients with neither LM nor measurable BM: At least one measurable extracranial lesion. For patients with measurable BM but without LM: at least one measurable intracranial lesion
For patients with LM: Confirmed diagnosis of LM by positive CSF cytology.
Male patients should be willing to use barrier contraception, i.e., condoms, until 3 months after last study drug is taken.
1Females should agree to use adequate contraceptive measures, should not be breast feeding and must have a negative pregnancy test prior to start of dosing if of child-bearing potential or must have evidence of non-child-bearing potential
1In Part B-AZD9291 LM expansion (sub-cohort of T790M+ LM patients), patients must have central confirmation of T790M+ mutation status from a sample taken after documented progression on the last treatment administered prior to enrolling in the study. Patients must have received prior therapy with an EGFR TKI and may also have received additional lines of treatment. Stable extracranial disease is not required.","For patients with LM and/or BM, CNS complications that require urgent neurosurgical intervention
For patient with LM, inability to undergo collection of CSF
Treatment with an EGFR TKI (e.g., erlotinib or gefitinib) within 8 days or approximately 5 x half-life, whichever is the longer, of the first dose of study treatment.
Any cytotoxic chemotherapy,or other anticancer drugs for the treatment of advanced NSCLC from a previous treatment regimen within 14 days of the first dose of study treatment
Radiotherapy with a wide field of radiation within 4 weeks or radiotherapy with a limited field of radiation for palliation within 1 week of the first dose of study treatment with the exception of patients receiving radiation to more than 30% of the bone marrow which must be completed within 4 weeks of the first dose of study treatment.
Patients currently receiving (or unable to stop use at least 1 week prior to receiving the first dose of AZD3759/AZD9291) medications or herbal supplements known to be potent inhibitors or inducers of cytochrome P450 3A4/5 and potential inhibitors of cytochrome P450 2C8 (for patients to be enrolled into AZD9291 cohorts only).
Past medical history of interstitial lung disease, drug-induced interstitial lung disease, radiation pneumonitis which required steroid treatment, or any evidence of clinically active interstitial lung disease.
Known intracranial haemorrhage which is unrelated to tumour
Refractory nausea and vomiting if not controlled by supportive therapy, chronic gastrointestinal diseases, inability to swallow the formulated product or previous significant bowel resection that would preclude adequate absorption of AZD3759/AZD9291
1Any evidence of severe or uncontrolled systemic diseases, including uncontrolled hypertension and active bleeding diatheses
1Inadequate bone marrow reserve or organ function
1Clinically significant ECG abnormalities or any factors that increase the risk of corrected QT interval prolongation or risk of arrhythmic events
1Prior history of whole brain radiotherapy (only applicable for AZD3759 BM expansion)"
160,"Male or female, aged at least 18 years.
Pathologically confirmed adenocarcinoma of the lung.
Locally advanced or metastatic NSCLC, not amenable to curative surgery or radiotherapy.
The tumour harbours one of the 2 common EGFR mutations known to be associated with EGFR-TKI sensitivity (Ex19del, L858R).
Mandatory provision of an unstained, archived tumour tissue sample in a quantity sufficient to allow for central analysis of EGFR mutation status.
Patients must be treatment-naïve for locally advanced or metastatic NSCLC and eligible to receive first-line treatment with gefitinib or erlotinib as selected by the participating centre. Prior adjuvant and neo-adjuvant therapy is permitted(chemotherapy, radiotherapy, investigational agents).
Provision of informed consent prior to any study specific procedures, sampling, and analysis.
World Health Organization Performance Status of 0 to 1 with no clinically significant deterioration over the previous 2 weeks and a minimum life expectancy of 12 weeks","Treatment with any of the following:
1) Prior treatment with any systemic anti-cancer therapy for locally advanced/metastatic NSCLC.
2) Prior treatment with an EGFR-TKI.
3) Major surgery within 4 weeks of the first dose of study drug.
4) Radiotherapy treatment to more than 30% of the bone marrow or with a wide field of radiation within 4 weeks of the first dose of study drug.
5) Patients currently receiving medications or herbal supplements known to be potent inducers of cytochrome P450 (CYP) 3A6) Alternative anti-cancer treatment
7) Treatment with an investigational drug within five half-lives of the compound or any of its related material.
Any concurrent and/or other active malignancy that has required treatment within 2 years of first dose of study drug.
Spinal cord compression, symptomatic and unstable brain metastases, except for those patients who have completed definitive therapy, are not on steroids, have a stable neurologic status for at least 2 weeks after completion of the definitive therapy and steroids.
Any evidence of severe or uncontrolled systemic diseases, including uncontrolled hypertension and active bleeding diatheses; or active infection including hepatitis B, hepatitis C and human immunodeficiency virus (HIV).
Refractory nausea and vomiting, chronic gastrointestinal diseases, inability to swallow the formulated product, or previous significant bowel resection that would preclude adequate absorption of AZD929Any of the following cardiac criteria:
1) Mean resting corrected QT interval (QTc) >470 msec, obtained from 3 ECGs, using the screening clinic ECG machine-derived QTcF value.
2) Any clinically important abnormalities in rhythm, conduction, or morphology of resting ECG.
3) Any patient with any factors that increase the risk of QTc prolongation or risk of arrhythmic events or unexplained sudden death under 40 years of age in first-degree relatives or any concomitant medication known to prolong the QT interval.
Past medical history of ILD, drug-induced ILD, radiation pneumonitis which required steroid treatment, or any evidence of clinically active ILD.
Involvement in the planning and/or conduct of the study"
