,Unnamed: 0,Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL,field1,inclusion_creteria,field2,exclusion_creteria
1040,1040,1041,NCT04261426,The Efficacy of Intravenous Immunoglobulin Therapy for Severe 2019-nCoV Infected Pneumonia,,Not yet recruiting,No Results Available,2019-nCoV,Drug: Intravenous Immunoglobulin|Other: Standard care,Clinical improvement based on the 7-point scale|Lower Murray lung injury score|28-day mortality|Duration of mechanical ventilation|Duration of hospitalization|Proportion of patients with negative RT-PCR results|Proportion of patients in each category of the 7-point scale|Proportion of patients with normalized inflammation factors|Frequency of Adverse Drug Events|Frequency of Serious Adverse Drug Events,"Peking Union Medical College Hospital|Tongji Hospital of Tongji Medical College, Huazhong University of Science and Technology",All,"18 Years and older   (Adult, Older Adult)",Phase 2|Phase 3,80.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,IVIG-001,"February 10, 2020","April 30, 2020","June 30, 2020","February 7, 2020",,"February 7, 2020",,,https://ClinicalTrials.gov/show/NCT04261426,Inclusion Criteria:,"Adult aged >=18years old;
Laboratory (RT-PCR) confirmed 2019-nCoV infection in throat swab and/or sputum and/or lower respiratory tract samples;
The interval between the onset of symptoms and randomized is within 7 days. The onset of symptoms is mainly based on fever. If there is no fever, cough or other related symptoms can be used;

Meet any of the following criteria for severe or critical ill conditions:

Respiratory rate >=30/min; or
Rest SPO2<=90%; or
PaO2/FiO2<=300mmHg; or
Respiratory failure and needs mechanical ventilation; or
Shock occurs; or
Multiple organ failure and needs ICU monitoring;


Respiratory rate >=30/min; or
Rest SPO2<=90%; or
PaO2/FiO2<=300mmHg; or
Respiratory failure and needs mechanical ventilation; or
Shock occurs; or
Multiple organ failure and needs ICU monitoring;
Sign the Informed Consent Form on a voluntary basis.",Exclusion Criteria:,Exist of other evidences that can explain pneumonia including but not limited to:
1042,1042,1043,NCT04336215,Rutgers COVID-19 Cohort Study,,Recruiting,No Results Available,Coronavirus|SARS-CoV-2,Other: Non-Interventional,Prevalence|Incidence,"Rutgers, The State University of New Jersey",All,"20 Years and older   (Adult, Older Adult)",,750.0,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,2020000679,"April 7, 2020","September 1, 2020","October 21, 2021","April 7, 2020",,"April 15, 2020","Clinical Research Center Rutgers-Robert Wood Johnson Medical School RWJUH East Tower -, New Brunswick, New Jersey, United States|Robert Wood Johnson University Hospital, New Brunswick, New Jersey, United States|Clinical Research Unit Rutgers New Jersey Medical School, Newark, New Jersey, United States|Rutgers School of Dental Medicine, Newark, New Jersey, United States|University Hospital, Newark, New Jersey, United States|Environmental and Occupational Health Sciences Institute, Piscataway, New Jersey, United States|RUCDR Infinite Biologics, Piscataway, New Jersey, United States",,https://ClinicalTrials.gov/show/NCT04336215,Inclusion Criteria:,"20 years and older
Hospital and RBHS healthcare workers who have regular direct patient contact (≥3 patients/shift) in emergency rooms or inpatient settings that is expected to continue regularly over the next ≥3 months and who work ≥20 hours in the hospital weekly (residents, clinical fellows, attending physicians, nurse practitioners, physician assistants, registered nurses, license practice nurses, medical technicians, respiratory therapists, physical therapists, clinical pharmacists, dentists, dental hygienists, or dental assistants)
Hospital workers who do not have patient contact and non-healthcare from the Rutgers faculty, postdoctoral students, administrators, and staff.
Household members in a subset of the participants who test positive and negative for SARS-CoV-2",Exclusion Criteria:,"Previous diagnosis with COVID-19
Pregnant or have been diagnosed with a new medical condition in the past 30 days or have had a change in medications in the past 30 days
Participants who have been hospitalized in the past 30 days, had and had an emergency room, urgent care visit, or have had surgery.
Participants who have a fever on the day of their first visit to the study site (for consent, biospecimen collection, etc.)."
1043,1043,1044,NCT04327206,BCG Vaccination to Protect Healthcare Workers Against COVID-19,BRACE,Recruiting,No Results Available,Coronavirus Disease 2019 (COVID-19)|Respiratory Illness|Corona Virus Infection|COVID-19,Drug: BCG Vaccine|Drug: 0.9%NaCl,COVID-19 disease incidence|Severe COVID-19 disease incidence|COVID-19 incidence by 12 months|Severe COVID-19 incidence by 12 months|Time to first symptom of COVID-19|Episodes of COVID-19|Asymptomatic SARS-CoV-2 infection|Work absenteeism due to COVID-19|Bed confinement due to COVID-19|Symptom duration of COVID-19|SARS-CoV-2 pneumonia|Oxygen therapy with SARS-CoV-2|Critical care admissions with SARS-CoV-2|Critical care admission duration with SARS-CoV-2|Mechanical ventilation with SARS-CoV-2|Mechanical ventilation duration with SARS-CoV-2|Hospitalisation duration with COVID-19|Mortality with SARS-CoV-2|Fever or respiratory illness|Episodes of fever or respiratory illness|Work absenteeism due to fever or respiratory illness|Bed confinement due to fever or respiratory illness|Symptom duration of fever or respiratory illness|Pneumonia|Oxygen therapy|Critical care admissions|Mechanical ventilation|Mortality|Hospitalisation duration with fever or respiratory illness|Unplanned work absenteeism|Hospitalisation cost to treat COVID-19|Local and systemic adverse events to BCG vaccination in healthcare workers,Murdoch Childrens Research Institute|Royal Children's Hospital,All,"18 Years and older   (Adult, Older Adult)",Phase 3,10078.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Prevention",62586,"March 30, 2020","October 30, 2020","March 30, 2022","March 31, 2020",,"May 19, 2020","Royal Adelaide Hospital, Adelaide, South Australia, Australia|South Australian Health and Medical Research Institute, Adelaide, South Australia, Australia|Women's and Children's Hospital, North Adelaide, South Australia, Australia|Epworth Victoria Parade, Melbourne, Victoria, Australia|Royal Children's Hospital, Melbourne, Victoria, Australia|Epworth Richmond, Melbourne, Victoria, Australia|Epworth Eastern, Melbourne, Victoria, Australia|Monash Health- Monash Medical Centre, Melbourne, Victoria, Australia|Fiona Stanley Hospital, Murdoch, Western Australia, Australia|Perth Children's Hospital, Perth, Western Australia, Australia|Sir Charles Gairdner Hospital, Perth, Western Australia, Australia",,https://ClinicalTrials.gov/show/NCT04327206,Inclusion Criteria:,"Over 18 years of age

In Europe: Healthcare worker who over the next few months of COVID-19 pandemic will be working onsite in patient areas or having face-to-face contact with patients.
-Note that this may include staff in either hospitals or other patient care facilities, such as nursing homes. Proof of registration as patient care worker will be required at enrolment.


In Australia: Employed by one of the hospitals involved in the study
- Note that this is not restricted to clinicians or nurses and include all individuals who work within the participating hospital during the COVID-19 outbreak.

Provide a signed and dated informed consent form

Has received the influenza vaccine at least 72 hours prior to randomisation
- Note that this criteria only applies in to Australian participants

Pre-randomisation blood collected",Exclusion Criteria:,"Has any BCG vaccine contraindication
Fever or generalised skin infection (where feasible, randomisation can be delayed until cleared)
Weakened resistance toward infections due to a disease in/of the immune system
Receiving medical treatment that affects the immune response or other immunosuppressive therapy in the last year. These therapies include systemic corticosteroids (more than or equal to 20 mg for more than or equal to 2 weeks), non-biological immunosuppressant (also known as 'DMARDS'), biological agents (such as monoclonal antibodies against tumour necrosis factor (TNF)-alpha).
Has a congenital cellular immunodeficiency, including specific deficiencies of the interferon-gamma pathway
Has a malignancy involving bone marrow or lymphoid systems
Has any serious underlying illness (such as malignancy). Please note: People with cardiovascular disease, hypertension, diabetes, and/or chronic respiratory disease are eligible if not immunocompromised
Known or suspected HIV infection, even if asymptomatic or has normal immune function. This is because of the risk of disseminated BCG infection
Has active skin disease such as eczema, dermatitis or psoriasis at or near the site of vaccination. A different site (other than left arm) can be chosen if necessary
Pregnant Although there is no evidence that BCG vaccination is harmful during pregnancy, it is a contra-indication to BCG vaccination. Therefore, we will exclude women who think they could be pregnant.
Another live vaccine administered in the month prior to randomisation
Require another live vaccine to be administered within the month following BCG randomisation If the other live vaccine can be given on the same day, this exclusion criteria does not apply
Known anaphylactic reaction to any of the ingredient present in the BCG vaccine
Previous active tuberculosis (TB) disease
Previous adverse reaction to BCG vaccine (significant local reaction (abscess) or suppurative lymphadenitis)
BCG vaccine given within the last year
Has previously had a SARS-CoV-2 positive test result
Already part of this trial, recruited at a different hospital
Participation in another COVID-19 prevention trial"
1044,1044,1045,NCT04342728,Coronavirus 2019 (COVID-19)- Using Ascorbic Acid and Zinc Supplementation,COVIDAtoZ,Enrolling by invitation,No Results Available,COVID|Corona Virus Infection,Dietary Supplement: Ascorbic Acid|Dietary Supplement: Zinc Gluconate|Dietary Supplement: Ascorbic Acid and Zinc Gluconate|Other: Standard of Care,Symptom Reduction|Symptom Resolution: Fever|Symptom Resolution: Cough|Symptom Resolution: Shortness of Breath|Symptom Resolution: Fatigue|Day 5 Symptoms|Hospitalizations|Severity of Symptoms|Adjunctive Medications|Supplementation Side Effects,The Cleveland Clinic,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,520.0,Other,Interventional,Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care,IRB 20-361,"April 8, 2020","December 30, 2020","April 30, 2021","April 13, 2020",,"May 14, 2020","Cleveland Clinic, Weston, Florida, United States|Cleveland Clinic, Cleveland, Ohio, United States",,https://ClinicalTrials.gov/show/NCT04342728,Inclusion Criteria:,"Outpatients ≥ 18 years presenting to Cleveland Clinic Health System in Northeast Ohio and Florida who test positive for COVID-19

Women of child bearing potential:

have had a menstrual period within the past 30 days, or
have had previous sterilization, or
are perimenopausal (less than 1 year) who have a negative pregnancy test, or
women of childbearing potential who do not meet the above and have a negative pregnancy test.


have had a menstrual period within the past 30 days, or
have had previous sterilization, or
are perimenopausal (less than 1 year) who have a negative pregnancy test, or
women of childbearing potential who do not meet the above and have a negative pregnancy test.",Exclusion Criteria:,"Patients who are found to be positive during hospitalization
Patients who reside outside Ohio or Florida.

Pregnant women:

Current known pregnancy
Positive pregnancy test (women of child bearing potential who have not had previous sterilization as defined as hysterectomy or tubal ligation)


Current known pregnancy
Positive pregnancy test (women of child bearing potential who have not had previous sterilization as defined as hysterectomy or tubal ligation)
Women of childbearing potential who do not meet the above criteria, last menstrual period greater than 30 days and have a positive pregnancy test.
Lactating Women
End stage CKD (Chronic kidney disease)
Advanced liver disease awaiting transplant
History of Calcium Oxalate kidney stones."
1045,1045,1046,NCT04255017,"A Prospective/Retrospective,Randomized Controlled Clinical Study of Antiviral Therapy in the 2019-nCoV Pneumonia",,Recruiting,No Results Available,2019-nCoV,Drug: Abidol hydrochloride|Drug: Oseltamivir|Drug: Lopinavir/ritonavir,"Rate of disease remission|Time for lung recovery|Rate of no fever|Rate of respiratory symptom remission|Rate of lung imaging recovery|Rate of CRP,ES,Biochemical criterion(CK,ALT,Mb) recovery|Rate of undetectable viral RNA",Tongji Hospital,All,"18 Years and older   (Adult, Older Adult)",Phase 4,400.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment,TJ20200128,"February 1, 2020","June 1, 2020","July 1, 2020","February 5, 2020",,"March 17, 2020","Department and Institute of Infectious Disease, Wuhan, Hubei, China",,https://ClinicalTrials.gov/show/NCT04255017,Inclusion Criteria:,"2019-nCoV nucleic acid test was positive.
CT of the lung conformed to the manifestation of viral pneumonia.",Exclusion Criteria:,"Patients who meet any of the contraindications in the experimental drug labeling
Patients who do not want to participate in this clinical study"
1046,1046,1047,NCT04382040,"A Phase II, Controlled Clinical Study Designed to Evaluate the Effect of ArtemiC in Patients Diagnosed With COVID-19",,Recruiting,No Results Available,COVID-19|Corona Virus Infection|SARS-CoV 2|Coronavirus|Coronavirus Infection,Drug: ArtemiC|Drug: Placebo,"Time to clinical improvement, defined as a national Early Warning Score 2 (NEWS2) of </= 2 Maintained for 24 Hours in comparison to routine treatment|Percentage of participants with definite or probable drug related adverse events|Time to negative COVID-19 PCR|Proportion of participants with normalization of fever and oxygen saturation through day 14 since onset of symptoms|COVID-19 related survival|Incidence and duration of mechanical ventilation|Incidence of Intensive Care Init (ICU) stay|Duration of ICU stay|Duration of time on supplemental oxygen",MGC Pharmaceuticals d.o.o,All,"18 Years and older   (Adult, Older Adult)",Phase 2,50.0,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",MGC-006,"May 8, 2020","July 31, 2020","July 31, 2020","May 11, 2020",,"May 15, 2020","Hillel Yaffe Medical Center, Hadera, Haifa, Israel|Nazareth Hospital EMMS, Nazareth, North, Israel",,https://ClinicalTrials.gov/show/NCT04382040,Inclusion Criteria:,"Confirmed SARS-CoV-2 infection.
Hospitalized COVID-19 patient in stable moderate condition (i.e., not requiring ICU admission).
Subjects must be under observation or admitted to a controlled facility or hospital (home quarantine is not sufficient).",Exclusion Criteria:,"Tube feeding or parenteral nutrition.
Patients who are symptomatic and require oxygen (Ordinal Scale for Clinical Improvement score >3) at the time of screening.
Respiratory decompensation requiring mechanical ventilation.
Uncontrolled diabetes type 2.
Autoimmune disease.
Pregnant or lactating women.
Any condition which, in the opinion of the Principal Investigator, would prevent full participation in this trial or would interfere with the evaluation of the trial endpoints."
1048,1048,1049,NCT04388657,"COVID-19, bLOod Coagulation and Thrombosis",CLOT,Recruiting,No Results Available,"COVID|Embolism and Thrombosis|Pneumonia, Viral",Diagnostic Test: Echo-Doppler,percentage of patients with one or more DVTs.,"Ramsay Générale de Santé|Hôpital Privé Jacques Cartier, service réanimation Dr Bougouin",All,"18 Years and older   (Adult, Older Adult)",,100.0,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,2020-A00,"May 1, 2020","September 1, 2020","September 1, 2020","May 14, 2020",,"May 14, 2020","Hôpital Ambroise Paré, Boulogne-Billancourt, IDF, France|Hôpital Privé Jacques Cartier, Massy, IDF, France|Centre Cardiologique du Nord, Saint-Denis, IDF, France",,https://ClinicalTrials.gov/show/NCT04388657,Inclusion Criteria:,"Patient, male or female, over 18 years of age with no upper age limit.
Patient admitted to intensive care or intensive care for pneumonia linked to SARS-COV2 (diagnosed on positive PCR or chest CT and anamnesis)
Affiliated patient or beneficiary of a social security scheme
Patient having been informed and not objecting to the use of their data in the context of this research.",Exclusion Criteria:,"Pregnant, lactating or parturient woman
Protected patient: adult under guardianship, curatorship or other legal protection, deprived of liberty by judicial or administrative decision."
1049,1049,1050,NCT04254874,"A Prospective/Retrospective,Randomized Controlled Clinical Study of Interferon Atomization in the 2019-nCoV Pneumonia",,Recruiting,No Results Available,2019-nCoV,Drug: Abidol hydrochloride|Drug: Abidol Hydrochloride combined with Interferon atomization,"Rate of disease remission|Time for lung recovery|Rate of no fever|Rate of respiratory symptom remission|Rate of lung imaging recovery|Rate of CRP,ES,Biochemical criterion (CK,ALT,Mb)recovery|Rate of undetectable viral RNA",Tongji Hospital,All,"18 Years and older   (Adult, Older Adult)",Phase 4,100.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment,TJ20200131,"February 1, 2020","June 1, 2020","July 1, 2020","February 5, 2020",,"March 17, 2020","Department and Institute of Infectious Disease, Wuhan, Hubei, China",,https://ClinicalTrials.gov/show/NCT04254874,Inclusion Criteria:,,Exclusion Criteria:,"Patients who meet any of the contraindications in the experimental drug labeling
Patients who do not want to participate in this clinical study"
1050,1050,1051,NCT04362995,St. Jude Tracking of Viral and Host Factors Associated With COVID-19,,Recruiting,No Results Available,COVID-19|Coronavirus Infection|Coronavirus|SARS-CoV-2,,Proportion of asymptomatic subjects|Positive CD4 and CD8 cell epitope positive response|Proportion of seroprevalence|T-cell response,St. Jude Children's Research Hospital,All,"18 Years and older   (Adult, Older Adult)",,1517.0,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,SJTRC,"April 23, 2020","April 20, 2021","March 20, 2025","April 27, 2020",,"May 25, 2020","St. Jude Children's Research Hospital, Memphis, Tennessee, United States",,https://ClinicalTrials.gov/show/NCT04362995,Inclusion Criteria:,"Adult St. Jude employees (Age ≥ 18 years of age) who are presumed to be SARS- CoV-2 naive, or have a recent diagnosis of COVID-19, and volunteer to participate.
Willing to undergo blood draws on up to 5 occasions during the study.
Receiving approximately twice-weekly SARS-CoV-2 screening by Occupational Health, or willing to provide up to twice weekly nasal self-swabs if attending campus.
Have access to a personal smartphone that is able to receive and respond to text messages for data collection.
Has ready access to the internet to log personal study information into the REDCap database.
Self-identified as able to speak and read English well enough to understand the consent process and survey forms, and to report symptoms.",Exclusion Criteria:,"Employees who are first-degree relatives of, or directly or indirectly report up to, the PI or any of the clinical study investigators who will have access to participant identities.
Employees who cannot complete the informed consent process."
1051,1051,1052,NCT04328961,Hydroxychloroquine for COVID-19 Post-exposure Prophylaxis (PEP),,Recruiting,No Results Available,COVID-19|Corona Virus Infection|SARS (Severe Acute Respiratory Syndrome)|SARS-CoV-2,Drug: Hydroxychloroquine Sulfate|Drug: Ascorbic Acid,Polymerase chain reaction (PCR) confirmed SARS-CoV-2 infection|Rate of participant-reported adverse events|Incidence rates of COVID-19 through study completion,University of Washington|Bill and Melinda Gates Foundation,All,"18 Years to 80 Years   (Adult, Older Adult)",Phase 2|Phase 3,2000.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Prevention",STUDY00009750|INV-016204,"March 31, 2020","September 30, 2020","October 31, 2020","April 1, 2020",,"May 14, 2020","University of California Los Angeles, Los Angeles, California, United States|Tulane, New Orleans, Louisiana, United States|University of Maryland, Baltimore, Baltimore, Maryland, United States|Boston University, Boston, Massachusetts, United States|NYU Langone Health, New York, New York, United States|SUNY Upstate Medical University, Syracuse, New York, United States|University of Washington, Coordinating Center, Seattle, Washington, United States|UW Virology Research Clinic, Seattle, Washington, United States",,https://ClinicalTrials.gov/show/NCT04328961,Inclusion Criteria:,"Men or women 18 to 80 years of age inclusive, at the time of signing the informed consent
Willing and able to provide informed consent

Had a close contact of a person (index) with known PCR-confirmed SARS-CoV-2 infection or who is currently being assessed for COVID-19. Close contact defined as:

Household contact (i.e., residing with the index case in the 14 days prior to index diagnosis)
Medical staff, first responders, or other care persons who cared for the index case without personal protection (mask and gloves)


Household contact (i.e., residing with the index case in the 14 days prior to index diagnosis)
Medical staff, first responders, or other care persons who cared for the index case without personal protection (mask and gloves)
Less than 4 days since last exposure (close contact with a person with SARS-CoV-2 infection) to the index case
Body weight < 100 kg (self-reported)
Access to device and internet for Telehealth visits",Exclusion Criteria:,"Known hypersensitivity to HCQ or other 4-aminoquinoline compounds
Currently hospitalized
Symptomatic with subjective fever, cough, or sore throat
Current medications exclude concomitant use of HCQ
Concomitant use of other anti-malarial treatment or chemoprophylaxis
History of retinopathy of any etiology
Psoriasis
Porphyria
Known bone marrow disorders with significant neutropenia (polymorphonuclear leukocytes < 1500) or thrombocytopenia (< 100 K)
Concomitant use of digoxin, cyclosporin, cimetidine, or tamoxifen
Known liver disease
Known long QT syndrome
Use of any investigational or non-registered drug or vaccine within 30 days preceding the first dose of the study drugs, or planned use during the study period"
1052,1052,1053,NCT04366089,Oxygen-Ozone as Adjuvant Treatment in Early Control of COVID-19 Progression and Modulation of the Gut Microbial Flora,PROBIOZOVID,Recruiting,No Results Available,"COVID|SARS-CoV 2|Pneumonia, Viral|Coronavirus Infection","Other: Oxygen-ozone therapy, probiotic supplementation and Standard of care|Dietary Supplement: SivoMixx (200 billion)|Drug: Azithromycin|Drug: hydroxychloroquine",Delta in the number of patients requiring orotracheal intubation despite treatment|Delta of crude mortality|Delta of length of stay for patients in hospital|delta in the value of interleukin (IL)-1|delta in the value of IL-6|delta in the value of IL-10|delta in the value of Tumor Necrosis Factor (TNF)-alpha|delta in the value of cluster of differentiation (CD)4+ CD38/ Human Leukocyte Antigen-DR isotype (HLA-DR)|delta in the value of CD8+ CD38/ HLA-DR|delta in the value of fecal calprotectin|delta in the value of lipopolysaccharide (LPS)|delta in the value of zonulin|delta in the value of alpha1-antitrypsin,"Roberto Poscia MD, PhD|Azienda Policlinico Umberto I",All,"18 Years and older   (Adult, Older Adult)",Phase 2,152.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment,110/2020,"March 26, 2020","October 30, 2020","December 31, 2020","April 28, 2020",,"April 28, 2020","Francesco Pugliese, Rome, RM, Italy",,https://ClinicalTrials.gov/show/NCT04366089,Inclusion Criteria:,"Age > 18 years
Nasopharyngeal swab positive for COVID-19
COVID-19 stages I - II - III (*1)
Hospitalization in the Department of Infectious Diseases",Exclusion Criteria:,"COVID-19 stages IV - V - VI (*1)
Hospitalization in Intensive Care Units
Pregnancy
Glucose-6-phosphate dehydrogenase (G6PD) deficiency
Patients who deny consent to the proposed treatment
Inability to provide informed consent
Contraindications to performing oxygen-ozone therapy
hyperhomocysteinemia
favism or thyroiditis
coagulopathies
neurodegenerative diseases
angina (in particular Prinzmetal's angina) or with previous myocardial infarction"
1053,1053,1054,NCT04346212,Oropharyngeal Dysphagia in Patients With COVID-19,,Recruiting,No Results Available,Oropharyngeal Dysphagia|COVID-19|Sars-CoV2|Nutrition,Diagnostic Test: Swallowing evaluation with the EAT-10 and the volume-viscosity swallowing test (V-VST),Prevalence of oropharyngeal dysphagia|Swallowing screening|Swallowing status.|Nutritonal status of study patient's.|Needs of compensatory treatments in those patients with oropharyngeal dysphagia (fluid adaptation).|Needs of compensatory treatments in those patients with oropharyngeal dysphagia (nutritional adaptation).|Clinical complications at 6 months follow up from patient's medical history (incidence of readmissions).|Clinical complications at 6 months follow up from patient's medical history (prevalence of readmissions).|Clinical complications at 6 months follow up from patient's medical history (number of visits to emergency department).|Clinical complications at 6 months follow up from patient's medical history (percentage of visits to emergency department).|Clinical complications at 6 months follow up from patient's medical history (respiratory complications).|Clinical complications at 6 months follow up from patient's medical history (mortality).,Hospital de Mataró|Centro Investigación Biomédica en Red de Enfermedades Hepáticas Digestivas,All,"Child, Adult, Older Adult",,100.0,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,COVID_OD,"April 14, 2020",July 2020,August 2020,"April 15, 2020",,"April 22, 2020","Consorci Sanitari del Maresme (Hospital de Mataró), Mataró, Barcelona, Spain",,https://ClinicalTrials.gov/show/NCT04346212,Inclusion Criteria:,"Infected patients (COVID-19 + by PCR) admitted to the CSdM more than 48 h.
Patients able to be explored regarding OD and nutritional status according to their physician's criteria (fully awake patients in a stable respiratory situation and optimal PaO2/FiO2).",Exclusion Criteria:,Uncontrolled risk of infection for healthcare professionals (HCP) (according to the safety considerations stated below).
1054,1054,1055,NCT04381923,COVIDNOCHE Trial (HFNO Versus CPAP Helmet) in COVID-19 Pneumonia,COVIDNOCHE,Not yet recruiting,No Results Available,"Severe Acute Respiratory Syndrome Coronavirus 2|Hypoxemic Respiratory Failure|Pneumonia, Viral|COVID",Device: Helmet Continuous Positive Airway Pressure (CPAP)|Device: High Flow Nasal Oxygen (HFNO),Ventilator-Free Days (VFD)|ICU and Hospital Length of Stay|Intubation|Renal Replacement Therapy (RRT)|Mortality|Dyspnea,University of Pennsylvania,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,200.0,Other,Interventional,Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Supportive Care,843124,May 2020,August 2020,October 2020,"May 11, 2020",,"May 11, 2020",,,https://ClinicalTrials.gov/show/NCT04381923,Inclusion Criteria:,Adult patients with confirmed COVID-19 with an Sp02 < 92% on ≥ 6 liters NC admitted to a Penn Medicine advanced respiratory unit. An advanced respiratory unit is a unit capable of non-invasive respiratory support such as an ICU or intermediate care unit.,Exclusion Criteria:,
1055,1055,1056,NCT04394078,Impact of Covid-19 Pandemic on Depression and Quality of Life,,Enrolling by invitation,No Results Available,Depression|Quality of Life|Covid 19|Social Isolation,Other: Online survey,Sociodemographic information form|Zung Depression Scale|World Health Organization Quality of Life - Bref,Okan University|Yuksek Ihtisas University,All,"15 Years to 65 Years   (Child, Adult, Older Adult)",,500.0,Other,Observational,Observational Model: Ecologic or Community|Time Perspective: Cross-Sectional,56665618-204.01.07,"May 6, 2020","May 18, 2020","May 18, 2020","May 19, 2020",,"May 21, 2020","Okan University, Istanbul, Turkey",,https://ClinicalTrials.gov/show/NCT04394078,Inclusion Criteria:,"being Turkish
understanding Turkish
currently living in Turkey
being between the age of 15 - 65
being literate
have internet access",Exclusion Criteria:,"being diagnosed with a psychological disorder before the pandemic
having missing value on outcome measures
giving incomprehensible answering"
1056,1056,1057,NCT04378881,Simulation of Risk of Adverse Drug Events Associated With the Initiation of Drugs Repurposed for the Treatment of COVID-19 in Adults With Polypharmacy Using Data From Large Medicare and Commercially Insured Populations,,Not yet recruiting,No Results Available,COVID|Drug Effect|Drug Interaction|Adverse Drug Event,,To determine the Medication Risk Score of de-identified participants from Medicare/Medicaid and commercial health insurance plans using their current drug regimen.|To simulate the Medication Risk Score following the addition of different repurposed drugs against COVID-19 to their current drug regimen.|To compare the impact on Medication Risk Score before and after the addition of repurposed drugs for COVID-19.|To assess and compare the effects of various repurposed drugs for COVID-19 on each of the five factors computed by algorithms to derive the Medication Risk Score.|To compare the Medication Risk Score and the effects of the addition of repurposed drugs on the drug regimen between participants with Medicare/Medicaid vs. commercial health insurance plans.|To explore the effects on Medication Risk Score of various repurposed drugs for COVID-19 within subgroups of patients classified by specific diseases or drugs used and the impact of various covariables.,Tabula Rasa HealthCare|Cambia Health Solutions,All,"18 Years and older   (Adult, Older Adult)",,100.0,Industry|Other,Observational,Observational Model: Cohort|Time Perspective: Retrospective,COVID19-TRHC-2020-002,"May 5, 2020","November 30, 2020","April 30, 2021","May 7, 2020",,"May 7, 2020",,,https://ClinicalTrials.gov/show/NCT04378881,Inclusion Criteria:,"Patients enrolled with Cambia Health Solutions; Medicare/Medicaid or Commercial Health Insurance Plan
Patients with drug claims available from 10/01/2018 to 10/31/2019",Exclusion Criteria:,"Patients with no drug claims available for 2018
Health Plan for injectable drugs"
