"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
518,"NCT04342663","A Double-blind, Placebo-controlled Clinical Trial of Fluvoxamine for Symptomatic Individuals With COVID-19 Infection","STOP COVID","Recruiting","No Results Available","COVID 19|Coronavirus","Drug: Fluvoxamine|Drug: Placebo","Time to clinical worsening|clinical deterioration on a Likert-type scale (1-6)|clinical deterioration measured by number of days|Symptomatic severity on a likert scale (0-10 where 0= none and 10=very severe)","Washington University School of Medicine","All","18 Years and older   (Adult, Older Adult)","Phase 2","152","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","202004023","April 10, 2020","August 1, 2020","September 1, 2020","April 13, 2020",,"May 19, 2020","BJC, Belleville, Illinois, United States|Washington University School of Medicine, Saint Louis, Missouri, United States",,"https://ClinicalTrials.gov/show/NCT04342663"
519,"NCT04332107","Azithromycin for COVID-19 Treatment in Outpatients Nationwide","ACTION","Recruiting","No Results Available","COVID-19|SARS-CoV-2","Drug: Azithromycin|Drug: Placebos","Hospitalization|Viral load|Mortality|Adverse events|Positive SARS-CoV-2 test - nasal swab|Positive SARS-CoV-2 test - saliva swab|Positive SARS-CoV-2 test - rectal swab|Genetic macrolide resistance determinants|COVID-19 symptoms|Number of emergency room visits|Number of household members with COVID-19 (confirmed or symptomatic)|Death","Thomas M. Lietman|Bill and Melinda Gates Foundation|Pfizer|Stanford University|University of California, San Francisco","All","18 Years and older   (Adult, Older Adult)","Phase 3","2271","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","20-30504","May 22, 2020","September 30, 2020","September 30, 2021","April 2, 2020",,"May 25, 2020","University of California San Francisco, San Francisco, California, United States",,"https://ClinicalTrials.gov/show/NCT04332107"
520,"NCT04363736","A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia","MARIPOSA","Not yet recruiting","No Results Available","COVID-19 Pneumonia","Drug: Tociliuzumab","Concentration of C-Reactive Protein (CRP)|Serum Concentration of Interleukin-6 (IL-6)|Serum Concentration of Soluble Interleukin Receptor (sIL-6R)|Serum Concentration of Ferritin|Serum Concentration of TCZ Following Administration of 8 mg/kg IV TCZ|Serum Concentration of TCZ Following Administration of 4 mg/kg IV TCZ|Clinical Status, as Assessed Using a 7-Category Ordinal Scale|Time to Clinical Improvement, Defined as a National Early Warning Score 2 (NEWS2) of </=2 Maintained for 24 Hours|Time to Improvement in at Least Two Categories Relative to Baseline on a 7-Category Ordinal Scale of Clinical Status|Duration of Supplemental Oxygen Use|Incidence of Intensive Care Unit (ICU) Stays|Incidence of Mechanical Ventilation|Duration of ICU Stay|Time to Clinical Failure, Defined as the Time to Death, Mechanical Ventilation, ICU Admission, or Withdrawal (whichever occurs first)|Mortality Rate|Time to Hospital Discharge or ""Ready for Discharge""|Frequency of Addition of a Second Dose of TCZ|Pecentage of Participants with Adverse Events|SARS-CoV-2 (COVID-19) Viral Load Over Time|Time to Real-Time Polymerase Chain Reaction (PCR) Virus Negativity|Proportion of Participants with any Post-Treatment Infection","Hoffmann-La Roche","All","18 Years and older   (Adult, Older Adult)","Phase 2","100","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CA42481","May 4, 2020","June 11, 2020","August 3, 2020","April 27, 2020",,"April 27, 2020",,,"https://ClinicalTrials.gov/show/NCT04363736"
521,"NCT04370821","COVID-19 CHAMPS Study of Healthcare, First Responder and Service Workers","CHAMPS","Recruiting","No Results Available","Occupational Exposure to SARS-CoV-2|COVID-19",,"Sample Size of enrolled CHAMPS Study participants by demographic characteristics during the first two years of the study|Exposure to SARS-CoV-2 based on models computed from participant baseline data and community variables, if available.|Infectious disease and chronic disease incidence rates by demographic characteristics|Completeness of data by demographic characteristics.|Participation rates in ancillary and sub-studies within the CHAMPS registry.|Number of participants enrolled in randomized trials based on the CHAMPS registry","Villanova University","All","18 Years and older   (Adult, Older Adult)",,"20000","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","IRB FY2020-215","May 9, 2020","April 27, 2040","April 27, 2040","May 1, 2020",,"May 12, 2020","Villanova University, Villanova, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT04370821"
522,"NCT04382053","Study of Efficacy and Safety of DV890 in Patients With COVID-19 Pneumonia",,"Not yet recruiting","No Results Available","COVID 19 Pneumonia, Impaired Respiratory Function","Drug: DFV890|Drug: Standard of Care (SoC)","APACHE II severity of disease score on Day 15 or on the day of discharge (whichever is earlier)|Serum C-reactive protein (CRP) levels|Clinical status over time|Proportion of participants not requiring mechanical ventilation for survival.|Proportion of participants with at least one-point improvement from baseline in clinical status","Novartis Pharmaceuticals|Novartis","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 2","120","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CDFV890D12201|2020-001870-32","May 15, 2020","July 29, 2020","July 29, 2020","May 11, 2020",,"May 11, 2020",,,"https://ClinicalTrials.gov/show/NCT04382053"
523,"NCT04356560","COVID-19 Surveillance of Patients and Healthcare Workers in a Hospital Department",,"Enrolling by invitation","No Results Available","COVID-19","Diagnostic Test: COVID-19 test, polymerase chain reaction for SARS-CoV-2","Incidence of healthcare workers with SARS-CoV-2|Incidence of ENT patients with SARS-CoV-2|Development of SARS-CoV-2 antibodies among healthcare workers|Sensitivity and specificity of a COVID-19 screening symptom questionnaire among healthcare workers|SARS CoV-2 and bacterial super infections in upper respiratory airways","Rigshospitalet, Denmark","All","Child, Adult, Older Adult",,"300","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","DT P-2020-353","March 23, 2020","September 30, 2020","December 31, 2020","April 22, 2020",,"April 24, 2020","Rigshospitalet University Hospital of Copenhagen, Copenhagen, Denmark",,"https://ClinicalTrials.gov/show/NCT04356560"
524,"NCT04344730","Dexamethasone and Oxygen Support Strategies in ICU Patients With Covid-19 Pneumonia","COVIDICUS","Recruiting","No Results Available","Acute Hypoxemic Respiratory Failure|COVID-19","Drug: Dexamethasone injection|Drug: placebo|Procedure: conventional oxygen|Procedure: CPAP|Procedure: HFNO|Procedure: mechanical ventilation","The time-to-death from all causes|The time to need for mechanical ventilation (MV)|The viral load in the respiratory tract|Number of patient with at least one episode of healthcare-associated infections|Number of days alive without mechanical ventilation|Measure of SOFA score|Number of days alive without renal replacement therapy|Lengths of ICU-stay|Lengths of hospital-stay|Number of patients with severe hypoxemia,|Number of patients with cardiac arrest within 1 hour after intubation","Assistance Publique - Hôpitaux de Paris","All","18 Years and older   (Adult, Older Adult)","Not Applicable","550","Other","Interventional","Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","APHP200388|2020-001457-43","April 10, 2020","December 31, 2020","December 31, 2020","April 14, 2020",,"April 14, 2020","Hopital Bichat - Aphp, Paris, France",,"https://ClinicalTrials.gov/show/NCT04344730"
525,"NCT04363060","Azithromycin+Amoxicillin/Clavulanate vs Amoxicillin/Clavulanate in COVID19 Patients With Pneumonia in Non-intensive Unit","AziA","Not yet recruiting","No Results Available","COVID-19 Pneumonia","Combination Product: Azithromycin with amoxicillin/clavulanate|Drug: amoxicillin/clavulanate","Rate of positive SARS-CoV-2 RT-PCR|Clinical evolution on the World Health Organization Ordinal Scale for Clinical Improvement for COVID-19|Total duration of antibiotic treatment during the 30 days following inclusion|Number of all-cause mortality during the 30 days following inclusion|Number of in-hospital mortality during the 30 days following inclusion|Number of patients transferred to intensive care unit during the 30-day follow-up|Number of days without mechanical ventilation during the 30 days following inclusion|adverse events attributable to antibiotic treatment during the 30 days following inclusion|Hospital length of stay during the 30 days following inclusion","Nantes University Hospital","All","18 Years to 99 Years   (Adult, Older Adult)","Phase 3","104","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","RC20_0168","April 30, 2020","July 30, 2020","July 30, 2020","April 27, 2020",,"April 29, 2020","Chu Angers, Angers, France|CHD Vendée, La Roche-sur-Yon, France|CHU Poitiers, Poitiers, France",,"https://ClinicalTrials.gov/show/NCT04363060"
526,"NCT04390412","Low Dose Radiotherapy in COVID-19 Pneumonia",,"Recruiting","No Results Available","COVID|SARS (Severe Acute Respiratory Syndrome)","Radiation: Low Dose Radiotherapy","Change from baseline blood oxygenation|Number of Hospital stay days|Number of ICU stay days|Number of intubation events|WBC|Platelets|ESR|CRP|IL-6|Chest CT scan","Shahid Beheshti University of Medical Sciences","All","60 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","5","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","23568|IRCT20200509047366N1","May 4, 2020","August 2020","December 2020","May 15, 2020",,"May 15, 2020","Imam Hossein Hospital, Tehran, Iran, Islamic Republic of",,"https://ClinicalTrials.gov/show/NCT04390412"
527,"NCT04351516","Test and Treat COVID 65plus+","COVID65plus","Recruiting","No Results Available","SARS-CoV 2|COVID-19","Drug: Hydroxychloroquine|Other: Placebo","● Rate of hospitalization or death at day 7 after study inclusion","University Hospital Tuebingen","All","65 Years and older   (Older Adult)","Phase 2|Phase 3","350","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","COVID65plus","April 21, 2020","December 31, 2020","May 1, 2021","April 17, 2020",,"May 1, 2020","Uniklinikum Tuebingen, Tuebingen, Germany|Uniklinikum Ulm, Ulm, Germany",,"https://ClinicalTrials.gov/show/NCT04351516"
528,"NCT04346056","Retrospective Study on Severe Respiratory Illness to Access the Presence of COVID-19","Explore","Recruiting","No Results Available","Coronavirus Disease (COVID-19)|COVID-19",,"Exploring the presence of COVID-19","Ain Shams University","All","1 Year to 80 Years   (Child, Adult, Older Adult)",,"500","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","FMASU P17a/ 2020","April 14, 2020","October 1, 2020","December 1, 2020","April 15, 2020",,"April 20, 2020","Faculty of Medicine Ain Shams University, Cairo, Non-US, Egypt|Faculty of Medicine Ain Shams University Research Institute- Clinical Research Center, Cairo, Non-US, Egypt",,"https://ClinicalTrials.gov/show/NCT04346056"
529,"NCT04273529","The Efficacy and Safety of Thalidomide in the Adjuvant Treatment of Moderate New Coronavirus (COVID-19) Pneumonia",,"Not yet recruiting","No Results Available","COVID-19 Thalidomide","Drug: thalidomide|Drug: placebo","Time to Clinical recoveryTime to Clinical Recovery (TTCR)|All cause mortality|Frequency of respiratory progression|Time to defervescence","First Affiliated Hospital of Wenzhou Medical University|Second Affiliated Hospital of Wenzhou Medical University|Wenzhou Central Hospital","All","18 Years and older   (Adult, Older Adult)","Phase 2","100","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","20200214-COVID-19-M-T","February 20, 2020","May 30, 2020","June 30, 2020","February 18, 2020",,"February 21, 2020",,,"https://ClinicalTrials.gov/show/NCT04273529"
530,"NCT04273581","The Efficacy and Safety of Thalidomide Combined With Low-dose Hormones in the Treatment of Severe COVID-19",,"Not yet recruiting","No Results Available","COVID-19 Thalidomide","Drug: placebo|Drug: Thalidomide","Time to Clinical Improvement (TTCI)|Clinical status|Time to Hospital Discharge OR NEWS2 (National Early Warning Score 2) of ≤ 2 maintained for 24 hours|All cause mortality|Duration (days) of mechanical ventilation|Duration (days) of extracorporeal membrane oxygenation|Duration (days) of supplemental oxygenation|Length of hospital stay (days)|Time to 2019-nCoV RT-PCR negativity in upper and lower respiratory tract specimens|Change (reduction) in 2019-nCoV viral load in upper and lower respiratory tract specimens as assessed by area under viral load curve.|Frequency of serious adverse drug events|Serum TNF-α, IL-1β, IL-2, IL-6, IL-7, IL-10, GSCF, IP10#MCP1, MIP1α and other cytokine expression levels before and after treatment","First Affiliated Hospital of Wenzhou Medical University|Second Affiliated Hospital of Wenzhou Medical University|Wenzhou Central Hospital","All","18 Years and older   (Adult, Older Adult)","Phase 2","40","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","20200214-COVID-19-S-T","February 18, 2020","April 30, 2020","May 30, 2020","February 18, 2020",,"February 21, 2020",,,"https://ClinicalTrials.gov/show/NCT04273581"
531,"NCT04337359","Ruxolitinib Managed Access Program (MAP) for Patients Diagnosed With Severe/Very Severe COVID-19 Illness",,"Available","No Results Available","Severe/Very Severe COVID-19 Illness","Drug: Ruxolitinib",,"Novartis Pharmaceuticals|Novartis","All","6 Years and older   (Child, Adult, Older Adult)",,,"Industry","Expanded Access:Intermediate-size Population",,"CINC424A2001M",,,,"April 7, 2020",,"May 4, 2020",,,"https://ClinicalTrials.gov/show/NCT04337359"
532,"NCT04371640","Sirolimus in COVID-19 Phase 1","SirCO-1","Recruiting","No Results Available","SARS-CoV-2|Covid-19","Drug: Sirolimus 1 MG/ML|Drug: Placebo","Change in SARS-CoV-2 viral burden from baseline to day 7 of treatment|Change in SARS-CoV-2 viral burden at days 1-6|Rate of treatment emergent adverse events","Walter K. Kraft|Thomas Jefferson University","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 1","40","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","15680","May 2020","July 2020","August 2020","May 1, 2020",,"May 7, 2020","Thomas Jefferson University Hospital, Philadelphia, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT04371640"
533,"NCT04382469","Egyptian Initial Experience About 2019 Novel Corona Virus: Study of 48 Patients in Alexandria-Egypt Using Chest CT",,"Completed","No Results Available","COVID",,"Radiological pattern of initial presentation, disease progress, healing and recovery|Survey of co-morbid lung diseases","Alexandria University","All","Child, Adult, Older Adult",,"48","Other","Observational","Observational Model: Case-Crossover|Time Perspective: Retrospective","IRB (00012098), FWA (00018699)","February 1, 2020","April 30, 2020","May 1, 2020","May 11, 2020",,"May 12, 2020","Faculty of Medicine, University of Alexandria, Alexandria, Egypt",,"https://ClinicalTrials.gov/show/NCT04382469"
534,"NCT04386109","Neonatal Complications of Coronavirus Disease (COVID-19)",,"Recruiting","No Results Available","Neonatal COVID-19 Disease","Other: No intervention - exposure is to COVID-19","Incidence of neonatal COVID-19|Incidence of vertically transmitted COVID-19|Presentation and natural history of neonatal COVID-19|Presentation of neonates with COVID-19 positive mothers|Outcomes for neonates with COVID-19|Clinical treatment of neonatal COVID-19|Neonatal secondary impacts of maternal COVID-19","University of Oxford|Imperial College London|University of Leicester|University of Nottingham|University of Glasgow|University Hospital of Wales|Public Health England|St George's, University of London","All","up to 29 Days   (Child)",,"500","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","14905","April 1, 2020","March 31, 2021","September 30, 2021","May 13, 2020",,"May 13, 2020","Imperial College, London, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04386109"
535,"NCT04374032","Clinical Trial to Evaluate the Efficacy and Safety of an Immunomodulatory Therapy for the Treatment of Patients With Moderate to Severe COVID-19 Infection",,"Recruiting","No Results Available","COVID-19 Infection","Drug: metenkefalin + tridecactide|Drug: The standard of care","Time to onset of change in the patient's clinical condition|Safety and tolerability evaluation - treatment-related adverse events will be assessed by CTCAE|Length of in-hospital stay|Survival rate|Intubation rate|Proinflammatory markers levels","Bosnalijek D.D","All","18 Years and older   (Adult, Older Adult)","Phase 2|Phase 3","120","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","EN-COVCS-01","May 1, 2020","August 31, 2020","October 31, 2020","May 5, 2020",,"May 7, 2020","Clinical Center University of Sarajevo, Sarajevo, Sarajevo Canton, Bosnia and Herzegovina",,"https://ClinicalTrials.gov/show/NCT04374032"
536,"NCT04342221","Hydroxychloroquine for COVID-19","COV-HCQ","Recruiting","No Results Available","COVID-19, Hydroxychloroquine Sulfate","Drug: Hydroxychloroquine Sulfate|Drug: Placebo","Effect of HCQ on in vivo viral clearance","University Hospital Tuebingen|Robert Bosch Medical Center|Universitätsklinikum Hamburg-Eppendorf|Bernhard Nocht Institute for Tropical Medicine","All","18 Years to 99 Years   (Adult, Older Adult)","Phase 3","220","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","COV-HCQ|2020-001224-33","March 29, 2020","March 2021","February 2022","April 10, 2020",,"April 10, 2020","Institute for Tropical Medicine, Tübingen, Germany",,"https://ClinicalTrials.gov/show/NCT04342221"
537,"NCT04399356","Niclosamide for Mild to Moderate COVID-19",,"Not yet recruiting","No Results Available","COVID (SARS-CoV-2)","Drug: Niclosamide|Drug: Placebo|Other: Telehealth monitoring","Change in respiratory viral clearance (by PCR)|Fecal viral clearance (by PCR)|Reduction (change) in viral shedding (by PCR)","Tufts Medical Center","All","18 Years and older   (Adult, Older Adult)","Phase 2","100","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","STUDY00000605","June 1, 2020","October 1, 2020","November 30, 2020","May 25, 2020",,"May 25, 2020",,,"https://ClinicalTrials.gov/show/NCT04399356"
538,"NCT04334044","Treatment of SARS Caused by COVID-19 With Ruxolitinib",,"Recruiting","No Results Available","COVID-19|Severe Acute Respiratory Syndrome Coronavirus 2","Drug: Ruxolitinib Oral Tablet","Recovery of Pneumonia|Response of C-reactive protein|Response of Ferritin|Response of D-dimer|Rate of ICU admission|Rate of mechanical ventilation|Overall Survival|Toxicity Rate","Grupo Cooperativo de Hemopatías Malignas","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","20","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","HAL 345/2020","April 15, 2020","June 1, 2020","June 1, 2020","April 3, 2020",,"April 17, 2020","Grupo Cooperativo de Hemopatías Malignas, Huixquilucan, Estado De México, Mexico",,"https://ClinicalTrials.gov/show/NCT04334044"
539,"NCT04392427","New Antiviral Drugs for Treatment of COVID-19",,"Not yet recruiting","No Results Available","COVID|Drug Effect","Drug: Treatment group: will receive a combination of Nitazoxanide, Ribavirin and Ivermectin for a duration of seven days :","negative test result for COVID-19","Mansoura University","All","12 Years and older   (Child, Adult, Older Adult)","Phase 3","100","Other","Interventional","Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","20.05.69","May 2020","May 2022","May 2022","May 18, 2020",,"May 18, 2020","Mansoura University, Mansoura, Select A State Or Province, Egypt",,"https://ClinicalTrials.gov/show/NCT04392427"
540,"NCT04379336","BCG Vaccination for Healthcare Workers in COVID-19 Pandemic",,"Recruiting","No Results Available","COVID-19|Sars-CoV2","Biological: Bacille Calmette-Guérin (BCG)|Other: Placebo Comparator","Incidence of HCWs hospitalized due to COVID-19 per arm|Incidence of SARS-CoV-2 infection per arm|Incidence of upper respiratory tract infections per arm|Days of unplanned absenteeism due to COVID-19 or any reason per arm|Incidence of hospitalization for any reason per arm|Incidence of intensive care unit admission per arm|Incidence of death per arm|Prevalence of latent TB infection|Incidence of active TB per arm|Compare the effect of latent TB on morbidity and mortality due to COVID-19 per arm|Incidence of treatment related adverse events","TASK Applied Science","All","18 Years and older   (Adult, Older Adult)","Phase 3","500","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","TASK-008 BCG-CORONA","May 4, 2020","April 28, 2021","April 28, 2021","May 7, 2020",,"May 7, 2020","TASK Foundation, Cape Town, Western Cape, South Africa",,"https://ClinicalTrials.gov/show/NCT04379336"
541,"NCT04397666","RT-PCR on Conjunctival Sample for the Detection of SARS-CoV-2 in Patients With Covid-19","P20/09","Recruiting","No Results Available","Covid 19 , Conjunctivitus","Diagnostic Test: conjunctival RT PCR","the SARS-Cov-2 positivity rate in patients with Covid-19 with or without signs of conjunctivitis","Versailles Hospital","All","18 Years and older   (Adult, Older Adult)","Not Applicable","68","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other","P20/09_COVEYES","May 15, 2020","September 15, 2020","November 15, 2020","May 21, 2020",,"May 21, 2020","Centre Hospitalier de versailles, Le Chesnay, France",,"https://ClinicalTrials.gov/show/NCT04397666"
542,"NCT04365127","Progesterone for the Treatment of COVID-19 in Hospitalized Men",,"Recruiting","No Results Available","COVID-19|Sars-CoV2","Drug: Progesterone 100 MG","Change in clinical status of subjects at Day 15 based on the following 7-point ordinal scale|Change in clinical status of subjects assessed daily while hospitalized and on Day 29|Duration of supplemental oxygen, mechanical ventilation (if applicable), and hospitalization","Sara Ghandehari|IBSA Institut Biochimique SA|Cedars-Sinai Medical Center","Male","18 Years and older   (Adult, Older Adult)","Phase 1","40","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","STUDY00000611","April 27, 2020","September 1, 2020","April 17, 2021","April 28, 2020",,"April 28, 2020","Cedars Sinai Medical Center, Los Angeles, California, United States",,"https://ClinicalTrials.gov/show/NCT04365127"
543,"NCT04385810","Description of Ophthalmologic Injuries in Intensive Care During the SARS-CoV2 Epidemic - COVID19","DOCOV","Recruiting","No Results Available","Covid19|Sars-CoV2","Procedure: Ophthalmologic exam","Describe ophthalmologic damage to the cornea with direct exam at day 0|Describe ophthalmologic damage to the cornea with direct exam at day 7|Describe ophthalmologic damage to the cornea with direct exam at day 14|Describe ophthalmologic damage to the cornea with direct exam at discharge of hospital|Describe ophthalmologic damage to the cornea with slit lamp exam at day 0|Describe ophthalmologic damage to the cornea with slit lamp exam at day 7|Describe ophthalmologic damage to the cornea with slit lamp exam at day 14|Describe ophthalmologic damage to the cornea with slit lamp exam at discharge of hospital|Describe tear film anomalies at day 0|Describe tear film anomalies at day 7|Describe tear film anomalies at day 14|Describe tear film anomalies at discharge of hospital|Describe ophthalmologic damage to the retina at day 0|Describe ophthalmologic damage to the retina at day 7|Describe ophthalmologic damage to the retina at day 14|Describe ophthalmologic damage to the retina at discharge of hospital|Describe ophthalmologic damage to the optic nerve at day 0|Describe ophthalmologic damage to the optic nerve at day 7|Describe ophthalmologic damage to the optic nerve at day 14|Describe ophthalmologic damage to the optic nerve at discharge of hospital","Fondation Ophtalmologique Adolphe de Rothschild","All","18 Years and older   (Adult, Older Adult)","Not Applicable","100","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","JDS_2020_13","April 27, 2020","October 2020","October 2020","May 13, 2020",,"May 13, 2020","Fondation Adolphe de Rothschild, Paris, France",,"https://ClinicalTrials.gov/show/NCT04385810"
544,"NCT04382651","Study of Efficacy and Safety of MAS825 in Patients With COVID-19","MAS-COVID","Not yet recruiting","No Results Available","COVID-19 Pneumonia, Impaired Respiratory Function","Drug: MAS825|Drug: Matching placebo","APACHE II severity of disease score on Day 15 or on day of discharge (whichever is earlier)|Serum C-reactive protein (CRP levels)|Ferritin levels|Proportion of participants without the need for invasive mechanical ventilation|Proportion of participants with at least one level improvement in clinical status|Clinical status over time","Novartis Pharmaceuticals|Novartis","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 2","120","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","CMAS825F12201","May 15, 2020","July 29, 2020","November 5, 2020","May 11, 2020",,"May 11, 2020",,,"https://ClinicalTrials.gov/show/NCT04382651"
545,"NCT04341207","Epidemiology of SARS-CoV-2 and Mortality to Covid19 Disease in French Cancer Patients","ONCOVID","Recruiting","No Results Available","Cancer & COVID 19","Drug: Hydroxychloroquine|Drug: Azithromycin","Prevalence and the 3-months incidence of SARS-CoV-2 in cancer patients|Covid-19 disease-specific mortality rate in cancer patients treated by hydroxychloroquine and azithromycin","Gustave Roussy, Cancer Campus, Grand Paris","All","18 Years and older   (Adult, Older Adult)","Phase 2","1000","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2020-001250-21|2020/3078","April 3, 2020","April 2022","April 2022","April 10, 2020",,"April 10, 2020","Gustave Roussy, Villejuif, Val De Marne, France",,"https://ClinicalTrials.gov/show/NCT04341207"
