"Rank","Title","Status","Study Results","Conditions","Interventions","Locations","URL"
205,"Organicell Flow for Patients With COVID-19","Not yet recruiting","No Results Available","Corona Virus Infection|COVID-19|SARS|Acute Respiratory Distress Syndrome","Biological: Organicell Flow|Other: Placebo","Landmark Hospital, Naples, Florida, United States|Landmark Hospital, Athens, Georgia, United States","https://ClinicalTrials.gov/show/NCT04384445"
206,"Angiotensin Receptor Blockers and Angiotensin-converting Enzyme Inhibitors and Adverse Outcomes in Patients With COVID19","Recruiting","No Results Available","Corona Virus Infection|COVID-19","Other: Suspension or Maintenance of Angiotensin Receptor Blockers and Angiotensin-converting Enzyme Inhibitors","Idor, São Paulo, Brazil","https://ClinicalTrials.gov/show/NCT04364893"
207,"Serology COVID-19 From the Cornwall Hospital Union","Recruiting","No Results Available","Corona Virus Infection","Biological: Serological test|Biological: Serum test","CH de Cornouaille, Quimper, France","https://ClinicalTrials.gov/show/NCT04363593"
208,"Detection Rate of SARS-CoV-2 in Male Genitourinary System and Its Impact on Male Reproductive Health.","Recruiting","No Results Available","Coronavirus Disease 2019","Other: Coronavirus Disease 2019","Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, Hubei, China","https://ClinicalTrials.gov/show/NCT04388631"
209,"Study to Describe the Safety, Tolerability, Immunogenicity, and Potential Efficacy of RNA Vaccine Candidates Against COVID-19 in Healthy Adults","Recruiting","No Results Available","SARS-CoV-2 Infection|COVID-19","Biological: BNT162a1|Biological: BNT162b1|Biological: BNT162b2|Biological: BNT162c2|Other: Placebo","University of Maryland, Center for Vaccine Development and Global Health, Baltimore, Maryland, United States|NYU Langone Health, New York, New York, United States|Rochester Regional Health/Rochester General Hospital, Rochester, New York, United States|Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States|Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States","https://ClinicalTrials.gov/show/NCT04368728"
210,"Multicentric Retrospective Observational Study of Thoracic Scanner Performance in COVID Screening.","Recruiting","No Results Available","The Gold Standard for Current SARS CoV2 Detection is RT-PCR","Diagnostic Test: Thoracic CT Scan","Chu de Poitiers, Poitiers, France","https://ClinicalTrials.gov/show/NCT04339686"
211,"Trial of Alpha One Antitrypsin Inhalation in Treating Patient With Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2)","Recruiting","No Results Available","Coronavirus","Drug: alpha one antitrypsin inhalation","Ministry of Health, Mecca, Saudi Arabia","https://ClinicalTrials.gov/show/NCT04385836"
212,"Trial of Treatments for COVID-19 in Hospitalized Adults","Recruiting","No Results Available","Corona Virus Infection","Drug: Remdesivir|Drug: Lopinavir/ritonavir|Drug: Interferon Beta-1A|Drug: Hydroxychloroquine|Other: Standard of care","Centre Hospitalier Universitaire Amiens-Picardie, Amiens, France|Centre Hospitalier Regional Metz-Thionville, Ars-Laquenexy, France|Centre Hospitalier Régional Universitaire de Besançon, Besançon, France|Centre Hospitalier Universitaire de Bordeaux, Bordeaux, France|APHP - hôpital Henri-Mondor, Créteil, France|Centre Hospitalier Universitaire Dijon-Bourgogne, Dijon, France|Centre Hospitalier Universitaire de Martinique, Fort De France, France|AP-HP Hôpital Bicêtre, Kremlin-Bicêtre, France|Centre Hospitalo-Universitaire de Grenoble, La Tronche, France|Centre Hospitalier Régional Universitaire de Lille, Lille, France|Hospices Civils de Lyon, Lyon, France|Centre Hospitalier Universitaire de Montpellier, Montpellier, France|Groupe Hospitalier de la Région de Mulhouse Sud Alsace, Mulhouse, France|Centre Hospitalier Régional et Universitaire de Nancy, Nancy, France|Centre Hospitalier Universitaire de Nantes, Nantes, France|Centre Hospitalo-Universitaire de Nice, Nice, France|APHP - Hôpital Saint Antoine, Paris, France|APHP - Hôpital Universitaire Pitié Salpêtrière, Paris, France|APHP - Hôpital Cochin, Paris, France|Hôpital Paris Saint-Joseph et Marie Lannelongue, Paris, France|APHP- Hôpital Européen Georges-Pompidou, Paris, France|APHP - Hôpital Bichat Claude Bernard, Paris, France|Centre Hospitalier Universitaire de Rennes, Rennes, France|Hopital DELAFONTAINE, Saint-Denis, France|Hôpital d'Instruction des Armées BEGIN, Saint-Mandé, France|Centre Hospitalier Universitaire de Saint Etienne, Saint-Étienne, France|Centre Hospitalier Régional Universitaire de Strasbourg, Strasbourg, France|Centre Hospitalier Universitaire de Toulouse, Toulouse, France|Centre Hospitalier Universitaire de Toulouse, Toulouse, France|Centre Hospitalier de Tourcoing, Tourcoing, France|Centre Hospitalier Universitaire de Tours, Tours, France|Centre Hospitalier Annecy Genevois, Épagny, France|Centre Hospitalier Luxembourg, Luxembourg, Luxembourg|Hôpitaux Robert Schuman, Luxembourg, Luxembourg","https://ClinicalTrials.gov/show/NCT04315948"
213,"PATCH 2&3:Prevention & Treatment of COVID-19 (Severe Acute Respiratory Syndrome Coronavirus 2) With Hydroxychloroquine","Recruiting","No Results Available","Coronavirus|Corona Virus Infection","Drug: Group A HCQ|Drug: Group B Control","ProHealth New York, New York, New York, United States","https://ClinicalTrials.gov/show/NCT04353037"
214,"Prevalence of SARS-CoV-2 in Conjunctival Swab Samples Among Patients With Conjunctivitis During the COVID-19 Pandemic","Recruiting","No Results Available","Conjunctivitis|SARS-CoV-2|COVID-19|Ocular Infection, Viral|Ocular Inflammation",,"Wilmer Eye Institute, Baltimore, Maryland, United States","https://ClinicalTrials.gov/show/NCT04374656"
215,"COVID-19 and ICU-acquired MDR Bacteria","Recruiting","No Results Available","Sars-CoV2|Critical Illness",,"Hôpital Roger Salengro, ICU, CHU Lille, Lille, France","https://ClinicalTrials.gov/show/NCT04378842"
216,"Immunophenotyping Assessment in a COVID-19 Cohort","Enrolling by invitation","No Results Available","Coronavirus Disease 2019 (COVID-19)|SARS-CoV-2","Procedure: Biological sample collection|Procedure: Data Collection: Clinical Care Assessments","University of California, Los Angeles: Department of Medicine, Los Angeles, California, United States|University of California San Francisco School of Medicine, San Francisco, California, United States|Stanford Medicine: Sean N. Parker Center for Allergy & Asthma Research, Stanford, California, United States|Yale School of Medicine, New Haven, Connecticut, United States|Emory University School of Medicine, Atlanta, Georgia, United States|Brigham and Women's Hospital, Boston, Massachusetts, United States|Icahn School of Medicine at Mount Sinai, New York, New York, United States|University Hospitals Case Medical Center, Cleveland, Ohio, United States|Oregon Health & Science University, Portland, Oregon, United States|Drexel University College of Medicine, Philadelphia, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT04378777"
217,"Full Anticoagulation Versus Prophylaxis in COVID-19: COALIZAO ACTION Trial","Not yet recruiting","No Results Available","Coronavirus Infection","Drug: Group 1: Rivaroxaban 20mg/d followed by enoxaparin/unfractionated heparin when needed|Drug: Group 2: control group with enoxaparin 40mg/d",,"https://ClinicalTrials.gov/show/NCT04394377"
218,"Covid-19 Pandemic Triage Score","Active, not recruiting","No Results Available","Sars-CoV2|Covid19","Diagnostic Test: STC-19 score","Groupe Hospitalier de la Rochelle Ré Aunis, La Rochelle, France","https://ClinicalTrials.gov/show/NCT04371471"
219,"Clinical Performance of the VivaDiag ™ COVID-19 lgM / IgG Rapid Test in Early Detecting the Infection of COVID-19","Not yet recruiting","No Results Available","Coronavirus Infections","Device: VivaDiag™ COVID-19 lgM/IgG Rapid Test","Unità' Complesse di cure primarie (UCCP), ASP Catanzaro, Catanzaro, Italy","https://ClinicalTrials.gov/show/NCT04316728"
220,"Registry for Clinical Presentation and Management of Patients With COVID-19 in the Emergency Room","Not yet recruiting","No Results Available","Corona Virus Infection|SARS-CoV 2","Other: Retrospective data collection","University Hospital of Cologne, Cologne, Germany","https://ClinicalTrials.gov/show/NCT04351854"
221,"Investigating Effect of Convalescent Plasma on COVID-19 Patients Outcome: A Clinical Trial","Enrolling by invitation","No Results Available","Coronavirus Infections","Biological: Convalescent Plasma","Imam Khomeini Hospital, Mazandaran University of Medical Sciences, Sari, Mazandaran, Iran, Islamic Republic of","https://ClinicalTrials.gov/show/NCT04327349"
222,"Precision Immunology to Determine the Immune Response in Patients With COVID-19","Recruiting","No Results Available","SARS-CoV 2|COVID","Other: Blood draw","University Hospital Bonn, Bonn, Germany","https://ClinicalTrials.gov/show/NCT04360733"
223,"An Observational Study of the Use of Siltuximab (SYLVANT) in Patients Diagnosed With COVID-19 Infection Who Have Developed Serious Respiratory Complications","Completed","No Results Available","Severe Acute Respiratory Syndrome (ARDS) Secondary to SARS-COV-2 Infection",,"ASST - Papa Giovanni XXIII, Bergamo, Italy","https://ClinicalTrials.gov/show/NCT04322188"
224,"Convalescent Plasma for COVID-19 Close Contacts","Recruiting","No Results Available","SARS-CoV 2|COVID-19","Biological: Convalescent Plasma (anti-SARS-CoV-2 plasma)|Biological: Control (albumin 5%)","Columbia University Irving Medical Center/NYP, New York, New York, United States","https://ClinicalTrials.gov/show/NCT04390503"
225,"Clinical Study of SARS in Children","Completed","No Results Available","Epidemiology",,,"https://ClinicalTrials.gov/show/NCT00173576"
226,"Prevention and Treatment With Calcifediol of COVID-19 Induced Acute Respiratory Syndrome","Not yet recruiting","No Results Available","SARS-CoV 2|COVID19|SARS (Severe Acute Respiratory Syndrome)|Cytokine Release Syndrome|Cytokine Storm","Drug: BAT + Calcifediol|Drug: BAT",,"https://ClinicalTrials.gov/show/NCT04366908"
227,"BCG Vaccine for Health Care Workers as Defense Against COVID 19","Recruiting","No Results Available","Coronavirus|Coronavirus Infection|Coronavirus as the Cause of Diseases Classified Elsewhere","Biological: BCG Vaccine|Biological: Placebo Vaccine","Cedars-Sinai Medical Center, Los Angeles, California, United States|Texas A&M Family Care Clinic, Bryan, Texas, United States|Baylor College of Medicine, Houston, Texas, United States|Baylor St. Luke's Medical Center, Houston, Texas, United States|Harris Health System - Ben Taub Hospital, Houston, Texas, United States|MD Anderson Cancer Center, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT04348370"
228,"Immunomodulatory Profile of Dexmedetomidine Sedation in Patients Recovering After ARDS Covid-19","Recruiting","No Results Available","SARS-CoV 2","Other: Inflammatory cytokines and chemokines profiles of patients with dexmedetomidine administration","Intensive Care Unit and Respiratory division ; Groupe hospitalier Pitie-Salpetriere and Universite Pierre et Marie Curie Paris 6, Paris, France","https://ClinicalTrials.gov/show/NCT04413864"
229,"Treatment for COVID-19 in High-Risk Adult Outpatients","Recruiting","No Results Available","COVID-19|SARS-CoV-2","Drug: Ascorbic Acid|Drug: Hydroxychloroquine Sulfate|Drug: Azithromycin|Drug: Folic Acid","Ruth M. Rothstein CORE Center - Cook County Health, Chicago, Illinois, United States|Tulane University, New Orleans, Louisiana, United States|Boston University, Boston, Massachusetts, United States|NYU Langone Health, New York, New York, United States|SUNY Upstate Medical University, Syracuse, New York, United States|University of Washington Coordinating Center, Seattle, Washington, United States|UW Virology Research Clinic, Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT04354428"
230,"Hydroxychloroquine for COVID-19 Post-exposure Prophylaxis (PEP)","Recruiting","No Results Available","COVID-19|Corona Virus Infection|SARS (Severe Acute Respiratory Syndrome)|SARS-CoV-2","Drug: Hydroxychloroquine Sulfate|Drug: Ascorbic Acid","University of California Los Angeles, Los Angeles, California, United States|Tulane, New Orleans, Louisiana, United States|University of Maryland, Baltimore, Baltimore, Maryland, United States|Boston University, Boston, Massachusetts, United States|NYU Langone Health, New York, New York, United States|SUNY Upstate Medical University, Syracuse, New York, United States|University of Washington, Coordinating Center, Seattle, Washington, United States|UW Virology Research Clinic, Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT04328961"
231,"Contamination During Removal of Two Different Personal Protective Systems","Completed","No Results Available","Severe Acute Respiratory Syndrome","Procedure: Powered Air purifying respirator","Kingston General Hospital, Kingston, Ontario, Canada","https://ClinicalTrials.gov/show/NCT00150475"
232,"Factors Associated With a Positive SARS-CoV-2 Serology in Contact Subjects at High/Moderate Risk of Coronavirus SARS-CoV-2 Infection. COVID19.","Recruiting","No Results Available","Coronavirus","Diagnostic Test: Serology|Genetic: Sequencing","Service de maladies infectieuses et tropicales Hôpital Jean Minjoz CHRU Besançon, Besançon, France|Service des Maladies infectieuses et tropicales, Pôle Spécialités médicales, CHU Pellegrin, Bordeaux, France|Service des maladies infectieuses Hôpital Gabriel Montpied CHU de Clermont Ferrand, Clermont Ferrand, France|Centre d'investigation clinique 1432 Hôpital François Mitterrand CHU Bourgogne, Dijon, France|Centre d'investigation clinique 1406 CHU Grenoble, Grenoble, France|Centre d'Investigation Clinique 1403 -CHU Lille, Lille, France|Centre d'investigation clinique Infectiologie Hôtel-Dieu CHU Nantes, Nantes, France|Centre d'Investigation Clinique Hôpital Saint Louis, Paris, France|Centre d'investigation Clinique 1425, Hôpital Bichat Claude Bernard, Paris, France|Hôpital Cochin CIC 1417 Bâtiment Lavoisier, Paris, France|Centre d'investigation clinique 1414 Service de Pharmacologie clinique CHU Rennes Hôpital Pontchaillou, Rennes, France|Centre Hospitalier Félix Guyon Ile de la Réunion CHU nord, Saint Denis, France|Département maladie infectieux CHU Saint Etienne, Saint Etienne, France|Centre d'Investigation Clinique Ile de la Réunion CHU sud, Saint-Pierre, France|Centre Investigation Clinique 1415 CHRU Tours - Hôpital Bretonneau, Tours, France|Centre Investigation Clinique 1433 CHRU de NANCY, Vandœuvre-lès-Nancy, France|Service de Maladies infectieuses et tropicales Centre hospitalier, Cayenne, French Guiana","https://ClinicalTrials.gov/show/NCT04322279"
233,"Different Susceptibility to SARS CoV-2 Infection Among Health Care Workers Highly Exposed to COVID-19.","Recruiting","No Results Available","Health Care Worker Patient Transmission|Receptor Site Alteration|Susceptibility, Disease|Immune Response","Diagnostic Test: Susceptibility to infection","Hospital Ramon y Cajal, Madrid, Spain","https://ClinicalTrials.gov/show/NCT04402827"
234,"ARMOR Study: COVID-19 Seroprevalence Among Healthcare Workers","Recruiting","No Results Available","Covid-19|Coronavirus Infection|Coronavirus","Other: COVID-19 Serology|Behavioral: Health Care Worker Survey","NewYork-Presbyterian Hosptial/Columbia University Irving Medical Center, New York, New York, United States","https://ClinicalTrials.gov/show/NCT04367857"
235,"STerOids in COVID-19 Study","Not yet recruiting","No Results Available","Coronavirus Infection","Drug: Budesonide dry powder inhaler",,"https://ClinicalTrials.gov/show/NCT04416399"
236,"Extracorporeal Membrane Oxygenation (ECMO) and Coronavirus Disease (COVID) 19","Recruiting","No Results Available","ARDS Related to Severe Acute Respiratory Syndrome-Coronavirus (SARS-CoV) 2|Acute Refractory Heart Failure Related to SARS-CoV 2",,"Angers University Hospital, Angers, France|Besançon Hospital, Besançon, France|Brest university Hospital, Brest, France|Caen University Hospital, Caen, France|Clermont ferrand University hospital, Clermont-Ferrand, France|APHP Henri Mondor Paris University Hospital, Créteil, France|Dijon University Hospital, Dijon, France|Vendée Hospital, La Roche-sur-Yon, France|Grenoble University Hospital, La Tronche, France|APHP Kremli Bicetre Paris University Hospital, Le Kremlin-Bicêtre, France|Marie Lannelongue Hospital, Le Plessis-Robinson, France|Lens Hospital, Lens, France|Lille University Hospital, Lille, France|Limoges University Hospital, Limoges, France|Clinique de la Sauvegarde, Lyon, France|Lyon University Hospital, Lyon, France|Marseille Européen Hospital, Marseille, France|APHM la Timone- Marseille University Hospital, Marseille, France|Metz University Hospital, Metz, France|Montpellier University Hospital, Montpellier, France|Emile Muller Hospital, Mulhouse, France|Nancy University Hospital, Nancy, France|Nantes University Hospital, Nantes, France|Ambroise Paré Hospital, Neuilly-sur-Seine, France|Nimes University Hospital, Nimes, France|Institut Mutualiste Montsouris, Paris, France|APHP Hopital Européen Georges Pompidou - Paris University Hospital, Paris, France|APHP necker Paris University Hospital, Paris, France|APHP Bichat - Paris University Hospital, Paris, France|Bordeaux University Hospital, Pessac, France|Poitiers University hospital, Poitiers, France|Reims University hospital, Reims, France|Rennes University hospital, Rennes, France|Rouen University Hospital, Rouen, France|Saint brieuc Hospital, Saint brieuc, France|La Réunion University Hospital, Saint-Denis, France|Saint Etienne University Hospital, Saint-Étienne, France|Strasbourg University Hospital, Strasbourg, France|Toulouse University Hospital - Rangueil Hospital, Toulouse, France|Tours University Hospital, Tours, France|Bretagne Atlantique Hospital, Vannes, France","https://ClinicalTrials.gov/show/NCT04397588"
237,"Health, Perception, Practices, Relations and Social Inequalities in the General Population During the Covid-19 Crisis","Recruiting","No Results Available","SARS-CoV 2","Biological: Non applicable","Inserm, Paris, France","https://ClinicalTrials.gov/show/NCT04392388"
238,"Modulation of Hyperinflammation in COVID-19","Recruiting","No Results Available","COVID-19|SARS","Device: Control group|Device: SLEDD with a L-MOD","Victoria Hospital - Critical Care Trauma Centre, London, Ontario, Canada","https://ClinicalTrials.gov/show/NCT04353674"
239,"SARS-CoV 2 in Personal Protective Equipment","Not yet recruiting","No Results Available","rt PCR|COVID|Personal Protective Equipment PPE|SARS-CoV 2|Health Personnel Attitude|Virus Diseases",,,"https://ClinicalTrials.gov/show/NCT04398043"
240,"The Efficacy of Different Anti-viral Drugs in COVID 19 Infected Patients","Recruiting","No Results Available","SARS-CoV Infection|COVID 19|Acute Respiratory Distress Syndrome ARDS","Drug: Hydroxychloroquine|Drug: Remdesivir|Other: (Standard of Care) SoC","Andreas Barratt-Due, Oslo, Norway","https://ClinicalTrials.gov/show/NCT04321616"
241,"Convalescent Plasma of Covid-19 to Treat SARS-COV-2 a Randomized Doble Blind 2 Center Trial","Recruiting","No Results Available","COVID-19","Biological: Convalescent Plasma of patients with COVID-19|Other: placebo (hartmann plus albumine)","Hospital Nava de Alta Especialidad, Mexico City, Mexico|Hospital General de Mexico Dr Eduardo Liceaga, Mexico City, Mexico","https://ClinicalTrials.gov/show/NCT04405310"
242,"COVID-19 Respiratory Distress and Antithrombotic Drugs in Subject's Habits","Recruiting","No Results Available","Sars-CoV2",,"Service Médecine Intensive et Réanimation, Strasbourg, France","https://ClinicalTrials.gov/show/NCT04412473"
243,"Incidence of COVID-19 Test Conversion in Post-surgical Patients","Recruiting","No Results Available","Sars-CoV2","Diagnostic Test: COVID-19 PCR and Serology","North Shore University Hospital, Manhasset, New York, United States|Long Island Jewish Medical Center, New Hyde Park, New York, United States","https://ClinicalTrials.gov/show/NCT04392323"
244,"Open Label Study to Compare Efficacy, Safety and Tolerability of Hydroxychloroquine Combined With Azithromycin Compared to Hydroxychloroquine Combined With Camostat Mesylate and to ""no Treatment"" in SARS CoV 2 Virus","Recruiting","No Results Available","COVID - 19","Drug: hydroxychloroquine in combination with camostat mesylate|Drug: Hydroxychloroquine in combination of Azithromycin","Sheba Medical Center, Ramat Gan, Israel|Sheba Medical Center, Tel HaShomer, Israel","https://ClinicalTrials.gov/show/NCT04355052"
245,"Safety and Efficacy of Viusid and Asbrip in Hospitalized Patients Infected by SARS-Cov-2 With COVID-19","Recruiting","No Results Available","Covid-19|Sars-CoV2|Diabete Mellitus|Cardiopathy|Pulmonary Disease|Renal Disease|Liver Diseases","Dietary Supplement: Viusid and Asbrip","Hospital de Especialidades Dr. Teodoro Maldonado Carbo, Guayaquil, Ecuador","https://ClinicalTrials.gov/show/NCT04407182"
246,"Endotracheal Tube Obstruction in Covid-19 Patients Requiring Mechanical Ventilation","Recruiting","No Results Available","Sars-CoV2",,"Service d'Anesthésie-Réanimation - Nouvel Hôpital Civil, Strasbourg, France","https://ClinicalTrials.gov/show/NCT04394429"
247,"Convalescent Plasma to Limit COVID-19 Complications in Hospitalized Patients","Recruiting","No Results Available","COVID-19|Coronavirus|Coronavirus Infection","Biological: Convalescent Plasma|Other: Saline solution","Montefiore Medical Center, Bronx, New York, United States|NYU Langone Health, New York, New York, United States","https://ClinicalTrials.gov/show/NCT04364737"
248,"Evaluation of Activity and Safety of Oral Selinexor in Participants With Severe COVID-19 Infection","Recruiting","No Results Available","Coronavirus Infection","Drug: Selinexor|Other: Placebo","UCLA, Los Angeles, California, United States|Kaiser Permanente Oakland, Oakland, California, United States|UC Davis Health, Sacramento, California, United States|Kaiser Permanente Sacramento, Sacramento, California, United States|Kaiser Permanente San Francisco, San Francisco, California, United States|Miami Cancer Institute at Baptist Health, Miami, Florida, United States|Emory University, Atlanta, Georgia, United States|Advocate Christ Medical Center, Oak Lawn, Illinois, United States|University of Kansas Medical Center, Kansas City, Kansas, United States|Norton Healthcare, Louisville, Kentucky, United States|Boston Medical Center, Boston, Massachusetts, United States|Karmanos, Detroit, Michigan, United States|Michigan Center of Medical Research, Farmington Hills, Michigan, United States|Michigan Center of Medical Research, Royal Oak, Michigan, United States|Columbia University, New York, New York, United States|Weill Cornell Medical College, New York, New York, United States|Levine Cancer Institute-Atrium Health University City, Charlotte, North Carolina, United States|Lehigh Valley Hospital, Allentown, Pennsylvania, United States|Baylor Scott & White Dallas, Dallas, Texas, United States|MultiCare Institute for Research & Innovation (Puget Sound), Tacoma, Washington, United States|Hospital Hietzing, 2. Medical department - Center for Diagnosis and Therapy of Rheumatic Diseases, Vienna, Austria|CHU Bordeaux, Bordeaux, France|CHU Lyon, Lyon, France|CHU Nantes, Nantes, France|Hadassah MC, Jerusalem, Israel|Hasharon Medical Center, Petah Tiqva, Israel|Sheba Medical Center, Tel HaShomer, Israel|Hospital Universitari Vall d'Hebron, Barcelona, Spain|Servicio de Medicina Interna, Hospital Universitario de Salamanca, Universidad de Salamanca, Salamanca, Spain|Princess Royal University Hospital, Kent, United Kingdom|Kings College Hospital, London, United Kingdom|The Royal Marsden Hospital, London, United Kingdom|University Hospitals Plymouth NHS Trust, Plymouth, United Kingdom","https://ClinicalTrials.gov/show/NCT04349098"
249,"The Impact of Camostat Mesilate on COVID-19 Infection","Recruiting","No Results Available","Corona Virus Infection","Drug: Camostat Mesilate|Drug: Placebo oral tablet","Department of Infectious Diseases, Aalborg, Denmark|Department for Infectious Diseases, Aarhus University Hospital, Aarhus N, Denmark|Herning Regional Hospital, Herning, Denmark|Northzealands hospital - Hillerød, Hillerød, Denmark|Horsens Regional Hospital, Horsens, Denmark|Bispebjerg hospital, København, Denmark|Dept. of Infectious Diseases, Odense University Hospital, Odense, Denmark|Randers Regional Hospital, Randers, Denmark|Silkeborg Hospital, Silkeborg, Denmark","https://ClinicalTrials.gov/show/NCT04321096"
250,"COVID-19 Infection and Transmission in Exposed, Confined and Community-based Infants","Not yet recruiting","No Results Available","Coronavirus|Coronavirus Infection|Covid19|Sars-CoV2","Diagnostic Test: Rapid detection test|Diagnostic Test: Nasopharyngeal swab|Diagnostic Test: Stool collection",,"https://ClinicalTrials.gov/show/NCT04413968"
251,"COVID-19 Prophylaxis With Hydroxychloroquine Associated With Zinc For High-Risk Healthcare Workers","Not yet recruiting","No Results Available","Coronavirus Infections","Drug: Hydroxychloroquine","Drug Research and Development Center (NPDM), Federal University of Ceará (UFC), Fortaleza, Ceará, Brazil","https://ClinicalTrials.gov/show/NCT04384458"
252,"Convalescent Plasma in the Treatment of COVID 19","Enrolling by invitation","No Results Available","SARS-CoV-2|COVID|Coronavirus","Biological: Convalescent Plasma","Trinity Health Of New England, Hartford, Connecticut, United States","https://ClinicalTrials.gov/show/NCT04343261"
253,"Novel Adoptive Cellular Therapy With SARS-CoV-2 Specific T Cells in Patients With Severe COVID-19","Recruiting","No Results Available","COVID-19","Other: Blood donation from convalescent donor","National University Hospital, Singapore, Singapore|Singapore General Hospital, Singapore, Singapore","https://ClinicalTrials.gov/show/NCT04351659"
254,"Study of the Pathogenesis of Olfactory Disorders in COVID-19","Recruiting","No Results Available","Coronavirus Infection|Severe Acute Respiratory Syndrome|Sars-CoV2","Other: Nasal swab|Other: Taste and olfactory function evaluation","Hôpital Lariboisière, Policlinique, Paris, France|Hôpital Lariboisière, Service ORL, Paris, France","https://ClinicalTrials.gov/show/NCT04366934"
255,"Phase I Study of a Vaccine for Severe Acute Respiratory Syndrome (SARS)","Completed","No Results Available","Healthy","Procedure: Blood Test|Procedure: Urine Test|Procedure: Physical Exam|Drug: Vaccine|Drug: VRC-SRSDNA015-00-VP","National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States","https://ClinicalTrials.gov/show/NCT00099463"
256,"Intensive Care Associated Complications and Outcome of Acute Respiratory Distress Syndrome Due to COVID-19","Recruiting","No Results Available","COVID|Corona Virus Infection|Sars-CoV2","Procedure: Study Arm","Inselspital Bern, Bern, Switzerland","https://ClinicalTrials.gov/show/NCT04397172"
257,"Monocytes and NK Cells Activity in Covid-19 Patients","Recruiting","No Results Available","COVID-19|Severe Acute Respiratory Syndrome Coronavirus 2|Immunomodulation","Diagnostic Test: Study of immune-mediated mechanisms in patients tested positive for SARS-CoV-2","ATS Insubria, Varese, Italy","https://ClinicalTrials.gov/show/NCT04375176"
258,"Lung CT Scan Analysis of SARS-CoV2 Induced Lung Injury","Recruiting","No Results Available","covid19","Other: Lung CT scan analysis in COVID-19 patients","Ospedale Papa Giovanni XXIII, Bergamo, Italy|Policlinico San Marco-San Donato group, Bergamo, Italy|Azienda Ospedaliero-Universitaria di Ferrara, Ferrara, Italy|ASST di Lecco Ospedale Alessandro Manzoni, Lecco, Italy|ASST Melegnano-Martesana, Ospedale Santa Maria delle Stelle, Melzo, Italy|ASST Monza, Monza, Italy|AUSL Romagna-Ospedale Infermi di Rimini, Rimini, Italy|Istituto per la Sicurezza Sociale-Ospedale della Repubblica di San Marino, San Marino, San Marino","https://ClinicalTrials.gov/show/NCT04395482"
259,"EXercise TRAining and Sedentary Lifestyle on Clinical Outcomes in Patients With COVID-19","Not yet recruiting","No Results Available","COVID-19|SARS-CoV 2|Corona Virus Infection|Sedentary Behavior","Other: Electronic questionnaire","Marcelo Rodrigues dos Santos, São Paulo, Sao Paulo, Brazil","https://ClinicalTrials.gov/show/NCT04396353"
260,"Convalescent Plasma and Placebo for the Treatment of COVID-19 Severe Pneumonia","Not yet recruiting","No Results Available","SARS Virus|SARS-CoV-2|COVID-19","Other: Convalescent SARS COVID-19 plasma|Other: Placebo",,"https://ClinicalTrials.gov/show/NCT04383535"
261,"Impact of Auricular Vagus Nerve Neuromodulation on COVID-19 Positive Inpatients Outcome","Recruiting","No Results Available","Covid19|SARS-CoV Infection","Procedure: Auricular neuromodulation|Procedure: Control","Fondation Adolphe de Rothschild, Paris, France","https://ClinicalTrials.gov/show/NCT04341415"
262,"Efficacy and Safety of COVID-19 Convalescent Plasma","Recruiting","No Results Available","Convalescent Plasma|COVID-19|SARS-CoV 2","Biological: anti-SARS-CoV-2 convalescent plasma","Institute for Transfusion Medicine of RNM, Skopje, North Macedonia","https://ClinicalTrials.gov/show/NCT04397523"
263,"Maternal-foetal Transmission of SARS-Cov-2","Recruiting","No Results Available","Maternal Fetal Infection Transmission|COVID-19|SARS-CoV 2","Diagnostic Test: Diagnosis of SARS-Cov2 by RT-PCR and : IgG, Ig M serologies in the amniotoc fluid, the blood cord and the placenta","CHR Orléans, Orléans, France","https://ClinicalTrials.gov/show/NCT04395924"
264,"CoV-ICU Score, Intensive Care Unit, SARS-CoV-2","Not yet recruiting","No Results Available","Coronavirus as the Cause of Diseases Classified Elsewhere","Other: COVICU",,"https://ClinicalTrials.gov/show/NCT04383483"
265,"Hemodynamic Characteristics of Patients With SARS-CoV-2","Not yet recruiting","No Results Available","Coronavirus|SARS-CoV-2|COVID-19|Acute Respiratory Distress Syndrome|Shock|Acute Circulatory Failure|Left Ventricular Dysfunction|Fluid Overload","Device: Transpulmonary thermodilution|Device: Echocardiography","Bicetre Hospital, Paris, Val-de-Marne, France","https://ClinicalTrials.gov/show/NCT04337983"
