Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL,Inclusion Criteria,Exclusion Criteria
92,NCT01767974,Comparison of Sequencing and PNA Clamping of EGFR Gene in Patients With Non-Small Cell Type Lung Cancer,SPACE,Unknown status,No Results Available,Non-Small Cell Lung Cancer,,Detection rate of EGFR mutation|Verification of PNA positive casese,Chonnam National University Hospital|AstraZeneca,All,"Child, Adult, Older Adult",,140,Other|Industry,Observational,Observational Model: Cohort|Time Perspective: Prospective,ISSIRES0066,Jan.13,Dec.14,Jun.15,15.Jan.13,,15.Jan.13,"Chonnam National University Hwasun Hospital, Hwasun-Gun, Jeonnam, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT01767974,"1. Locally advanced stage IIIB not suitable for curative therapy or stage IV (metastatic) disease or relapsed NSCLC
2. ECOG Performance status 0~2.
3. Written Informed Consent
4. Female or male patients aged 18 years or over, eligible for treatment for NSCLC","1. Previous exposure to EGFR-TKI
2. Concomitant use of other anti-cancer drugs with EGFR-TKI
3. Patients without available Tumor DNA
4. As judged by the investigator, any evidence of severe or uncontrolled systemic disease (e.g. unstable or uncompensated respiratory, cardiac, hepatic, or renal disease)
5. Evidence of any other significant clinical disorder or laboratory finding that makes it undesirable for the subject to participate in the study
6. Pregnancy or breast-feeding women (women of child¬bearing potential). Women of childbearing potential must practice acceptable methods of birth control to prevent pregnancy."
96,NCT00801385,Sorafenib and Erlotinib in Treating Patients With Stage IIIB or Stage IV Non-Small Cell Lung Cancer That Has Not Responded to Chemotherapy,,Unknown status,No Results Available,Lung Cancer,Drug: erlotinib hydrochloride|Drug: sorafenib tosylate|Genetic: DNA analysis|Genetic: mutation analysis|Genetic: polymerase chain reaction|Genetic: protein analysis|Genetic: protein expression analysis|Other: immunohistochemistry staining method|Other: laboratory biomarker analysis,Tumor response based on RECIST criteria|Response duration in patients with confirmed objective response|Disease control rate|Overall survival|Progression-free survival|Biomarker analysis,Yonsei University|National Cancer Institute (NCI),All,"18 Years and older 혻 (Adult, Older Adult)",Phase 2,47,Other,Interventional,Masking: None (Open Label)|Primary Purpose: Treatment,CDR0000618003|YONSEI-4-2008-0160,Sep.08,Jun.09,,3.Dec.08,,25.Aug.09,"Yonsei Cancer Center at Yonsei University Medical Center, Seoul, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT00801385,"DISEASE CHARACTERISTICS:
1. Histologically or cytologically confirmed non-small cell lung cancer
1) Advanced (stage IIIB-IV) or recurrent disease
2. Must have failed 1 or 2 prior chemotherapy regimens, including platinum-containing regimen
3. At least 1 unidimensionally measurable lesion > 10 mm by spiral CT scan or > 20 mm by conventional CT scan
1) Previously irradiated lesions cannot be included as sites of measurable disease unless clear tumor progression has been documented in the lesions since the end of radiotherapy
4. No known or suspected brain metastases
1) Patients with clinical signs or symptoms that are suspicious of brain metastasis must have a pre-treatment CT scan or MRI of the brain
2) Patients with prior brain metastases are eligible provided they have completed their treatment for brain metastases, no longer require corticosteroids, and are asymptomatic
PATIENT CHARACTERISTICS:
5. ECOG performance status 0-2
6. WBC 4,000-12,000/μL
7. Neutrophil ≥ 1,500/μL
8. Platelet count ≥ 100,000/μL
9. Hemoglobin ≥ 9.0 g/dL
10. Total bilirubin ≤ 1.5 times upper limit of normal (ULN)
11. AST and ALT ≤ 2.0 times ULN
12. Alkaline phosphatase ≤ 2.0 times ULN
13. Serum creatinine ≤ 1.5 times ULN
14. Not pregnant or nursing
15. No active clinically serious infections
16. No prior or concurrent cancer that is distinct in primary site or histology from the cancer being evaluated in this study except cervical carcinoma in situ, treated basal cell carcinoma, superficial bladder tumors (Ta, Tis and T1), or any cancer curatively treated > 5 years before study
17. Able to swallow oral medications
18. No substance abuse or medical, psychological, or social conditions that may interfere with participation in the study or evaluation of the study results
PRIOR CONCURRENT THERAPY:
19. See Disease Characteristics
20. Recovered from all prior therapy
21. No prior anti-EGFR targeted therapy
22. At least 4 weeks since prior surgery
23. At least 4 weeks since prior and no concurrent radiotherapy
24. No prior radiotherapy to the whole pelvis or chest or to ≥ 25% of the bone marrow
1) No other concurrent anticancer agents (e.g., chemotherapy or immunotherapy agents) which might affect evaluation of study treatment",
99,NCT00453167,Weekly Paclitaxel Plus Gemcitabine as Second-line in Small Cell Lung Cancer,,Completed,No Results Available,Lung Cancer,Drug: Paclitaxel|Drug: Gemcitabine,To evaluate the response rate of paclitaxel plus gemcitabine|To access the toxicity|To estimate the time to progression|To examine the association between genotypes of paclitaxel biotransformation and the pharmacokinetics /|To estimate the overall survival,"National Cancer Center, Korea",All,"18 Years and older 혻 (Adult, Older Adult)",Phase 2,35,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,NCCCTS-05-155,Dec.05,Dec.09,Mar.10,28.Mar.07,,12.Jul.10,"National Cancer Center, Korea, Goyang-si, Gyeonggi-do, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT00453167,"1. Histologically or cytologically confirmed SCLC
2. Clinically diagnosed metastatic or recurrent SCLC according to Sixth Edition of the AJCC Cancer Staging Manual
3. At least 18 years old
4. ECOG performance status 0-2
5. Disease status must be that of measurable disease defined as RECIST:Lesions that can be accurately measured in at least one dimension > 10 mm with chest x-ray, spiral CT scan or physical examination
6. Progression during or after prior first line chemotherapy or chemoradiotherapy.
7. Before study entry, a minimum of 21 days must have elapsed since any prior chemotherapy or radiation
8. No prior radiotherapy to measurable lesion(s) but previous surgery and/or chest radiotherapy for the primary lesion is allowed
9. Adequate major organ function including the following:Hematologic function: WBC ≥ 3,500/mm3 or absolute neutrophil count (ANC) ≥ 1,500/mm3, platelet count ≥ 100,000/mm3Hepatic function: bilirubin ≤ 1.5 x UNL , AST/ALT levels ≤ 2.5 x UNLRenal function: serum creatinine ≤ 1.5mg/dL
10. Patients should sign an informed consent
11. If female: childbearing potential either terminated by surgery, radiation, or menopause, or attenuated by use of an approved contraceptive method (intrauterine device [IUD], birth control pills, or barrier device) during and for 3 months after trial. If male, use of an approved contraceptive method during the study and 3 months afterwards. Females with childbearing potential must have a urine negative hCG test within 7 days prior to the study registration.","1. MI within preceding 6 months or symptomatic heart disease including unstable angina, congestive heart failure, or uncontrolled arrhythmia
2. Serious concurrent infection or nonmalignant illness that is uncontrolled or whose control may be jeopardized by complication of study therapy
3. Other malignancy with the past 5 years except adequately treated cutaneous basal cell carcinoma or uterine cervix in situ cancer
4. Pregnant or nursing women
5. Psychiatric disorder that would preclude compliance.
6. Major surgery other than biopsy within the past two weeks."
112,NCT03384680,Symptom Collection of Lung Cancer Patients,,Unknown status,No Results Available,Lung Cancer,,Pattern identification,Seong-Gyu Ko|Kyunghee University Medical Center,All,"18 Years and older 혻 (Adult, Older Adult)",,100,Other,Observational,Observational Model: Case-Only|Time Perspective: Cross-Sectional,KCRD_Lung cancer_Symptoms,16.Sep.15,31.Mar.18,31.May.18,27.Dec.17,,9.Jan.18,"Korea University Guro Hospital, Seoul, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT03384680,"1. Adult over 18 years old
2. Patients are scheduled for surgery with lung cancer diagnosis.
3. ECOG status score 0 to 2
4. Individual who can read and understand Korean
5. Participant is willing and able to give informed consent for participation in the study","1. Patient who was diagnosed with lung cancer in the past.
2. Individuals who are judged inappropriate for the study"
124,NCT04253509,Liquid Biopsy Using Methylation Sequencing for Lung Cancer,,Recruiting,No Results Available,Lung Cancer|Diagnoses Disease,Diagnostic Test: Circulating Tumor DNA Methylation Sequencing,Diagnostic sensitivity of ctDNA methylation sequencing|Diagnostic specificity of ctDNA methylation sequencing|Diagnostic accuracy of ctDNA methylation sequencing|Positive predictive value of ctDNA methylation sequencing|Negative predictive value of ctDNA methylation sequencing,Samsung Medical Center|EDGC Inc.,All,"15 Years to 85 Years 혻 (Child, Adult, Older Adult)",,280,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,2019-11-080,3.Feb.20,Feb.22,Feb.22,5.Feb.20,,12.Feb.20,"Samsung Medical Center, Seoul, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT04253509,"1. Lung cancer group
1) Pathologically proven lung cancer
2) Clinically suspected lung cancer on chest CT scan
2. Benign pulmonary disease group
1) Chronic obstructive pulmonary disease, interstitial lung disease, pneumonia, bronchiectasis, non-tuberculous mycobacterial lung disease, pulmonary vascular disease","1. Patients with previous history of lung cancer
2. Patients who have been diagnosed with other malignancy within 5 years
3. Unstable vital status
4. Active pulmonary tuberculosis
5. Infection with hepatitis B virus (HBV), hepatitis C virus (HCV), or human immunodeficiency virus (HIV)"
132,NCT01619241,Pilot Study for Evaluating the Role of F-18 FLT PET/CT in Therapeutic Decision Making in Non-small Cell Lung Cancer,,Unknown status,No Results Available,Non-small Cell Lung Cancer,Other: PET/CT,overall survival|time to progression,The Catholic University of Korea,All,"18 Years and older 혻 (Adult, Older Adult)",,15,Other,Observational,Observational Model: Case-Only|Time Perspective: Prospective,KC12EISI0104,Jun.12,Aug.13,Aug.15,14.Jun.12,,14.Jun.12,"Seoul St.Mary's Hospital, Seoul, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT01619241,"1. advanced non-small cell lung cancer (stage IIIB, IV)
2. at least one measurable lesion
3. performance status (ECOG) 0-2
4. 1st-line platinum chemotherapy and no progression","1. mixed small cell and non-small cell
2. uncontrolled brain metastasis
3. previous malignancy within 5 years (except basal cell carcinoma of skin, carcinoma in situ of uterine cervix)
4. pregnant or breast feeding
5. pemetrexed chemotherapy"
148,NCT03053856,Adjuvant Pembrolizumab in N2 Positive Non-small Cell Lung Cancer Patients,,Not yet recruiting,No Results Available,Stage IIIA Non-small Cell Lung Cancer,Drug: Pembrolizumab|Procedure: Curative resection|Procedure: Neoadjuvant concurrent chemoradiotherapy|Drug: Cisplatin|Drug: Paclitaxel,Efficacy of adjuvant pembrolizumab in N2 Positive NSCLC|Overall survival (OS),Samsung Medical Center,All,"18 Years and older 혻 (Adult, Older Adult)",Phase 2,37,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2016-09-018,14.Feb.17,13.May.21,13.Aug.21,15.Feb.17,,15.Feb.17,"Department of Medicine, Samsung Medical Center, Sungkyunkwan University School of Medicine, Seoul, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT03053856,"In order to be eligible for participation in this trial, the subject must:
1. Be willing and able to provide written informed consent for the trial
2. Be 18 years of age
3. Be within 6 weeks after complete resection after neoadjuvant CCRT
4. Have a performance status of 0 or 1 on the ECOG Performance Scale.
5. Patients who completed neoadjuvant CCRT regimen includes 5 cycles of weekly Paclitaxel (50 mg/m2 + 5DW200 MIV over 1hr) plus Cisplatin (25 mg/m2 + N/S 150 mL MIV over 1hr) concurrent with radiotherapy (44 Gy/22fx daily fraction).
6. Be willing to provide tissue from a obtained before neoadjuvant CCRT and surgical specimen (at least 10 slides from each surgically resected primary tumors and surgically resected metastatic lymph nodes)
7. Demonstrate adequate organ function as defined in Table 1, all screening labs should be performed within 14 days of treatment initiation.
8. Female subject of childbearing potential should have a negative urine or serum pregnancy within 72 hours prior to receiving the first dose of study medication. If the urine test is positive or cannot be confirmed as negative, a serum pregnancy test will be required.
9. Female subjects of childbearing potential (Section 5.7.2) must be willing to use an adequate method of contraception as outlined in Section 5.7.2 - Contraception, for the course of the study through 120 days after the last dose of study medication.
Note: Abstinence is acceptable if this is the usual lifestyle and preferred contraception for the subject.
10. Male subjects of childbearing potential (Section 5.7.1) must agree to use an adequate method of contraception as outlined in Section 5.7.1- Contraception, starting with the first dose of study therapy through 120 days after the last dose of study therapy.","The subject must be excluded from participating in the trial if the subject:
1. Is currently participating and receiving study therapy or has participated in a study of an investigational agent and received study therapy or used an investigational device within 4 weeks of the first dose of treatment.
2. Participation in another clinical study with PD-1 or PD-L1 inhibitors at any time
3. Any previous treatment with a PD-1, PD-L1 inhibitor or any anti-cancer therapy after complete resection of lung cancer
4. Current or prior use of immunosuppressive medication within 28 days before the first dose of pembrolizumab, with the exceptions of intranasal and inhaled corticosteroids or systemic corticosteroids at physiological doses, which are not to exceed 10 mg/day of prednisone, or an equivalent corticosteroid
5. Mean QT interval corrected for heart rate (QTc) ≥470 ms using Bazett's correction
6. Has a known history of active TB (Bacillus Tuberculosis)
7. Active or prior documented inflammatory bowel disease (Crohn's disease or ulcerative colitis)
8. History of allogenic organ transplant
9. Hypersensitivity to pembrolizumab or any of its excipients.
10. Prior history of malignancy within 2 years from study entry except for adequately treated basal cell or squamous cell skin cancer or in situ cervical cancer, or early gastric cancer. The incidentally detected, non-metastatic well differentiated thyroid cancer can be enrolled irrespective of the treatment, because the prognosis of this type of cancer is known much better than the study disease, even it is untreated. For the debatable double primary cancer, the enrolment can be discussed with the principal investigator in a manner of case by case, and if it is not expected to affect the study outcome, the subjects can be enrolled.
11. Has active autoimmune disease that has required systemic treatment in the past 2 years (i.e. with use of disease modifying agents, corticosteroids or immunosuppressive drugs). Replacement therapy (eg., thyroxine, insulin, or physiologic corticosteroid replacement therapy for adrenal or pituitary insufficiency, etc.) is not considered a form of systemic treatment.
12. Has known history of, or any evidence of active, non-infectious pneumonitis.
13. Evidence of interstitial lung disease.
14. Has an active infection requiring systemic therapy.
15. Has a history or current evidence of any condition, therapy, or laboratory abnormality that might confound the results of the trial, interfere with the subject's participation for the full duration of the trial, or is not in the best interest of the subject to participate, in the opinion of the treating investigator.
16. Has known psychiatric or substance abuse disorders that would interfere with cooperation with the requirements of the trial.
17. Is pregnant or breastfeeding, or expecting to conceive or father children within the projected duration of the trial, starting with the pre-screening or screening visit through 120 days after the last dose of trial treatment.
18. Has a known history of Human Immunodeficiency Virus (HIV) (HIV 1/2 antibodies).
19. Has known active Hepatitis B (e.g., HBsAg reactive) or Hepatitis C (e.g., HCV RNA [qualitative] is detected).
20. Has received a live vaccine within 30 days of planned start of study therapy. Note: Seasonal influenza vaccines for injection are generally inactivated flu vaccines and are allowed; however intranasal influenza vaccines (e.g., Flu-Mist®) are live attenuated vaccines, and are not allowed"
153,NCT03215537,Development of Patient Tailored Guideline of Physical Activity for Lung Cancer,,Recruiting,No Results Available,Lung Cancer,Behavioral: comprehensive intervention,Changes of cardiopulmonary function|complication|Changes of pulmonary function|Changes of physical activity|Changes of physical fitness|Changes of quality of life|Changes of Fatigue,Samsung Medical Center,All,"19 Years and older 혻 (Adult, Older Adult)",Not Applicable,176,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2015-11-025-002,2.Mar.16,2.Dec.20,2.Dec.21,12.Jul.17,,9.Jan.20,"Samsung Medical Center, Seoul, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT03215537,1. lung cancer patients before surgery,"1. Eastern Cooperative Oncology Group Performance Status <1
2. Neoadjuvant therapy
3. Multiple cancer
4. Recurrent lung cancer."
155,NCT00620347,Sunitinib as a Second-line Treatment for Patients With Recurrent Small Cell Lung Cancer,,Completed,No Results Available,Lung Cancer,Drug: sunitinib,Tumor response rate|Overall survival|Progression-Free Survival|Toxicity,"National Cancer Center, Korea|Pfizer",All,"18 Years and older 혻 (Adult, Older Adult)",Phase 2,25,Other|Industry,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,NCCCTS-07-285,Mar.08,Feb.12,Sep.12,21.Feb.08,,19.Jun.13,"National Cancer Center, Korea, Goyang-si, Gyeonggi-do, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT00620347,"1. Histologic or cytologic confirmed SCLC
2. Clinically diagnosed ED-SCLC according to sixth Edition of the AJCC cancer staging manual
3. Progression during or after prior first line chemotherapy.
4. Resolution of all acute toxic effects of prior therapy or surgical procedure to grade ≤ 1 (except alopecia)
5. Prior radiation therapy excluded lung is allowed.
6. No other forms of cancer therapy, such as chemotherapy, radiation, immunotherapy for at least 3 weeks before the enrollment in study.
7. Performance status of 0, 1, 2 on the ECOG criteria.
8. Tumor work-up: within 4weeks prior 1st day of treatment: chest X-ray; CT of chest, liver, and adrenal glands; bone scan; brain MRI
9. At least one uni-dimensionally measurable lesion meeting Response Evaluation Criteria in Solid Tumors.
10. Estimated life expectancy of at least 12 weeks.
11. Patient compliance that allows adequate follow-up.
12. Adequate organ function for chemotherapy
13. Adequate cardiac function: normal EF by Echocardiography
14. No ischemic heart disease or cardiac dysrhythmia.
15. Normal QTc interval
16. Normal thyroid function.
17. Informed consent from patient or patient's relative.
18. Males or females at least 18 years of age.
19. If female: childbearing potential either terminated by surgery, radiation, or menopause, or attenuated by use of an approved contraceptive method (intrauterine device [IUD], birth control pills, or barrier device) during and for 3 months after trial. If male, use of an approved contraceptive method during the study and 3 months afterwards. Females with childbearing potential must have a urine negative HCG test within 7 days prior to the study enrollment.","1. Diagnosis of any second malignancy within the past 3 years, except basal cell carcinoma, squamous cell skin cancer, or in situ carcinoma that has been adequately treated with no evidence or recurrent disease for 12 months
2. NCI CTCAE grade ≥ 2 neuropathy from any cause
3. Ongoing treatment with therapeutic doses of coumarin derivatives, such as warfarin, (low dose Coumadin® up to 2 mg PO daily for deep vein thrombosis prophylaxis is allowed)
4. Uncontrolled brain metastases, spinal cord compression, carcinomatous meningitis, or leptomeningeal disease. Patients should have completed surgery or radiation therapy for existing brain metastases, should not have documented increase in size over the previous 3 months and should be asymptomatic off steroids
5. Any of the following within the 12 months prior to starting study treatment: myocardial infarction, sever/unstable angina, coronary/peripheral artery bypass graft, congestive heart failure, cerebrovascular accident including transient ischemic attack, or pulmonary embolus
6. NCI CTCAE Grade 3 hemorrhage < 4 weeks of starting study treatment
7. Hypertension (>150/100 mg Hg) that cannot be controlled with standard antihypertensive agents
8. Ongoing cardiac dysrhythmias of grade ≥ 2, atrial fibrillation of any grade, or QTc interval > 450 msec for males or > 470 msec for female
9. Known human immunodeficiency virus (HIV) seropositivity
10. Pregnancy or breastfeeding. All female patients with reproductive potential must have a negative pregnancy test (serum or urine) within 7 days prior to enrolment
11. Other severe acute or chronic medical or psychiatric condition, or laboratory abnormality that may increase the risk associated with study participation or study drug administration, or may interfere with the interpretation of study results, and in the judgment of the investigator would make the patient inappropriate for entry into this study"
162,NCT00453115,Gemcitabine Plus Oxaliplatin in Advanced Stage IIIB/IV Non Small Cell Lung Cancer (NSCLC),,Unknown status,No Results Available,Lung Cancer,Drug: Oxaliplatin|Drug: Gemcitabine,Response rate|To access the toxicity|To estimate the time to progression and overall survival|To evaluate the improvement quality of life|To estimate the overall survival,"National Cancer Center, Korea",All,"18 Years and older 혻 (Adult, Older Adult)",Phase 2,43,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,NCCCTS-05-157,Jan.06,May.10,May.11,28.Mar.07,,25.Oct.10,"National Cancer Center, Korea, Goyang-si, Gyeonggi-dog, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT00453115,"1. Histologic or cytologic diagnosis of NSCLC, Stage IV or selected stage IIIB (with positive pleural effusion or separate tumor nodules in the same lobe) according to the American Joint Committee on Cancer (AJCC).
2. No prior chemotherapy.
3. Prior radiation therapy is allowed as long as the irradiated area is not the only source of measurable disease.
4. No other forms of cancer therapy, such as radiation, immunotherapy for at least 4 weeks before the enrollment in study.
5. Performance status of 0, 1, 2 on the ECOG criteria.
6. At least one unidimensional measurable lesion meeting Response Evaluation Criteria in Solid Tumors (RECIST. 2000).
7. Estimated life expectancy of at least 12 weeks.
8. Patient compliance that allow adequate follow-up.
9. Adequate organ function including the following:Adequate hematologic function: WBC count ≥ 3,500/uL, absolute neutrophil count (ANC) ≥ 1,500/uL, and platelet count ≥ 100,000/uLAdequate hepatic function: bilirubin ≤ 1.5 x UNL, ALT or AST ≤ 2.5 x UNL.Adequate renal function: creatinine ≤ 1.5mg/dL.
10. Informed consent from patient
11. Males or females at least 18 years old.
12. If female: childbearing potential either terminated by surgery, radiation, or menopause, or attenuated by use of an approved contraceptive method (intrauterine device [IUD], birth control pills, or barrier device) during and for 3 months after trial. If male, use of an approved contraceptive method during the study and 3 months afterwards. Females with childbearing potential must have a urine negative hCG test within 7 days prior to the study registration.","1. MI within preceding 6 months or symptomatic heart disease, including unstable angina, congestive heart failure or uncontrolled arrhythmia
2. Serious concomitant infection including post obstructive pneumonia
3. Second primary malignancy (except in situ carcinoma of the cervix or adequately treated basal cell carcinoma of the skin or prior malignancy treated more than 5 years ago without recurrence)
4. Pregnant or nursing women
5. Psychiatric disorder that would preclude compliance.
6. Major surgery other than biopsy within the past two weeks."
